id,format,journal,pages
000379ar,2cols,phyto71,9
000381ar,2cols,phyto71,3
006852ar,2cols,gpq14,14
006855ar,2cols,gpq14,13
006859ar,2cols,gpq14,2
011312ar,2cols,gpq14,19
011313ar,2cols,gpq14,16
011314ar,2cols,gpq14,14
013043ar,2cols,rseau67,13
013044ar,2cols,rseau67,12
013045ar,2cols,rseau67,12
013046ar,2cols,rseau67,9
013047ar,2cols,rseau67,13
013110ar,2cols,gpq14,27
013111ar,2cols,gpq14,36
013141ar,2cols,gpq14,27
014420ar,2cols,rseau67,17
014421ar,2cols,rseau67,16
014422ar,2cols,rseau67,10
014903ar,2cols,rseau67,13
014904ar,2cols,rseau67,11
014905ar,2cols,rseau67,15
014906ar,2cols,rseau67,13
014907ar,2cols,rseau67,11
015738ar,2cols,rseau67,18
015739ar,2cols,rseau67,20
015740ar,2cols,rseau67,15
015741ar,2cols,rseau67,20
015742ar,2cols,rseau67,13
015810ar,2cols,rseau67,10
015811ar,2cols,rseau67,9
015812ar,2cols,rseau67,15
015813ar,2cols,rseau67,10
015814ar,2cols,rseau67,14
016908ar,2cols,rseau67,14
018459ar,2cols,rseau67,3
018463ar,2cols,rseau67,11
018466ar,2cols,rseau67,20
018469ar,2cols,rseau67,10
038233ar,2cols,phyto71,6
038247ar,2cols,phyto71,22
039001ar,2cols,gpq14,3
039750ar,2cols,raq135,3
039751ar,2cols,raq135,2
039987ar,standard,cqd27,35
039988ar,standard,cqd27,29
044022ar,2cols,phyto71,8
044815ar,standard,cqd27,31
044816ar,standard,cqd27,34
044817ar,standard,cqd27,24
044818ar,standard,cqd27,33
044819ar,standard,cqd27,29
045001ar,2cols,raq135,5
045054ar,standard,cqd27,26
045055ar,standard,cqd27,31
045056ar,standard,cqd27,32
045057ar,standard,cqd27,23
045058ar,standard,cqd27,29
1003585ar,standard,cqd27,22
1003586ar,standard,cqd27,41
1003587ar,standard,cqd27,31
1003588ar,standard,cqd27,31
1003589ar,standard,cqd27,50
1006630ar,standard,cqd27,26
1006631ar,standard,cqd27,21
1006632ar,standard,cqd27,25
1006633ar,standard,cqd27,25
1006634ar,standard,cqd27,26
1011539ar,standard,cqd27,34
1011540ar,standard,cqd27,30
1011541ar,standard,cqd27,27
1011542ar,standard,cqd27,31
1011544ar,standard,cqd27,34
1012978ar,standard,cqd27,27
1012979ar,standard,cqd27,17
1012980ar,standard,cqd27,31
1012981ar,standard,cqd27,19
1012983ar,standard,cqd27,31
1013490ar,standard,cqd27,18
1013491ar,standard,cqd27,24
1013492ar,standard,cqd27,30
1013493ar,standard,cqd27,42
1013494ar,standard,cqd27,41
1013496ar,standard,cqd27,44
1017096ar,standard,cqd27,26
1017097ar,standard,cqd27,25
1017098ar,standard,cqd27,44
1017099ar,standard,cqd27,32
1017100ar,standard,cqd27,33
1020608ar,standard,cqd27,39
1020609ar,standard,cqd27,32
1020610ar,standard,cqd27,30
1020611ar,standard,cqd27,31
1020612ar,standard,cqd27,35
1020613ar,standard,cqd27,18
1025489ar,standard,cqd27,30
1025490ar,standard,cqd27,34
1025491ar,standard,cqd27,34
1025492ar,standard,cqd27,29
1025493ar,standard,cqd27,29
1027978ar,standard,cqd27,27
1027979ar,standard,cqd27,30
1027980ar,standard,cqd27,35
1027981ar,standard,cqd27,29
1027982ar,standard,cqd27,30
1027983ar,standard,cqd27,24
1027984ar,standard,cqd27,40
1027985ar,standard,cqd27,30
1040392ar,standard,cqd27,24
1040393ar,standard,cqd27,22
1040394ar,standard,cqd27,25
1040395ar,standard,cqd27,24
1040396ar,standard,cqd27,30
1040397ar,standard,cqd27,21
1040398ar,standard,cqd27,25
1040511ar,2cols,phyto71,3
1040514ar,2cols,phyto71,10
1043294ar,standard,cqd27,35
1043295ar,standard,cqd27,25
1043296ar,standard,cqd27,27
1043297ar,standard,cqd27,27
1043298ar,standard,cqd27,28
1043299ar,standard,cqd27,32
1054052ar,standard,cqd27,21
1054053ar,standard,cqd27,21
1054054ar,standard,cqd27,22
1054056ar,standard,cqd27,24
1054057ar,standard,cqd27,20
1062104ar,standard,cqd27,17
1062105ar,standard,cqd27,24
1062106ar,standard,cqd27,32
1062107ar,standard,cqd27,28
1062108ar,standard,cqd27,26
1069004ar,standard,cqd27,25
1069006ar,standard,cqd27,25
1069007ar,standard,cqd27,29
1073338ar,standard,cqd27,16
1073339ar,standard,cqd27,25
1073340ar,standard,cqd27,29
1073341ar,standard,cqd27,24
1074178ar,standard,cqd27,28
1074179ar,standard,cqd27,22
1074180ar,standard,cqd27,38
1087534ar,2cols,phyto71,8
1109866ar,standard,cqd27,29
1109867ar,standard,cqd27,22
1109868ar,standard,cqd27,27
1109869ar,standard,cqd27,23
1109870ar,standard,cqd27,30
