page,table_id,col_1,col_2,col_3,col_4
7,1,,"Conductivité hydraulique
(m/s)",,"Porosité effective
(%)"
7,1,Unité géologique,Valeurs mesurées,Valeurs calées,Littérature*
7,1,Sable,"Moyenne : 3,6.10-5 (n = 5)
Écart-type : 4,1.10-5","5,0.10-4",30
7,1,Silt argileux,"Moyenne : 1,2.10-6 (n = 13)
Écart-type : 2,1.10-6","1,2.10-5",3
7,1,Till,"Moyenne: 7,0.10-5 (n = 3)
Écart-type : 1,2.10-4",1.10-6,5
7,1,Roc,"Minimum : 2,5.10-6 ** (n = 2)
Maximum : 8,7.10-6","Minimum : 1.10-8
Maximum : 5.10-4",9
9,1,,Composition moyenne en δ18O (‰),,
9,1,,Octobre 2001,Avril 2002,
9,1,Puits profonds (n=14),"-10,6","-10,5",
9,1,Puits de surface (n=2),"-10,9","-11,3",
9,1,Rivière Noire (n=2),"-7,4","-11,7",
9,1,Ruisseau des Aulnages (n=3),"-10,5","-10,7",
