page,table_id,col_1
3,1,Homme
3,1,"3,9[3]
1,6[3]
1,5[3]
-
2-25[2]"
4,1,,,Estrogène,E1,βE2
4,1,ehcaV,"Selles
Urine
-","30µg/kg[3] -
299µg/j
15µg/L[3] 2,7mg/j*[2] -
1,3mg/j[3] - -","-
-
-","- - -
- - -
13ng/L[1] - -"
4,1,eiurT,"Selles
Urine","-
5,65-11,3µg/kg 120µg/j
1,13mg/kg*[3] 192µg/j*[2]
-","-
-","- - -
- - -"
4,1,siberB,"Selles
Urine","- -
23µg/j
52µg/j*[2]
- -","-
-","- - -
- - -"
4,1,eluoP,"Selles
Urine","- -
20µg/j[2]
- -","-
-","- - -
- - -"
4,1,,Déchets,- - 14-533ng/g[4],-,- 44ng/g[4] -
4,1,laminA,Fumier,- - -,28-72ng/g[5],- - 46-50ng/g[5]
4,1,,,Pays-Bas Allemagne Australie,Pays-Bas,
5,1,Concentrations à l’affluent (ng/L)
5,1,E1 βE2 αE2 E3 EE2
5,1,"9,6-17,6 11,1-17,4 - 11,4-15,2 4,9-7,1
19-75 6,1-27 - - <1-4,8
20-130 17-150 <0,7-15 - <0,3-5,9
1,8-4,1 <0,3 - - <LOD*
66 22,7 - - -
52 12 - 80 3
31 9,7 - 57 4,8
44 11 - 72 -
15-60 10-31 - 23-48 n.d.
<2,5-115 <5-30,4 - <0,25-70,7 <5
- 20-94 - - -
- 5 - - -
19-78 2,4-26 - - -"
5,2,Concentrations à l’effluent (ng/L)
5,2,E1 βE2 αE2 E3 EE2
5,2,"6,2-7,2 4,5-8,6 - 5,0-7,3 2,7-4,5
<0,4-47 <0,6-12 <0,1-5 - <0,2-7,5
5,8 1,1 - - 4,5
1,4-76 2,7-48 - - <LOD[1]-4,3
6,4-29 1,6-7,4 - 2-4 <LOD[2]
7 6 - 3 3
<LOD[3]-18 <LOD[4]-15 - - <LOD[4]-12
17 1,6 - 2,3 -
5-30 3-8 - n.d.-1 n.d.
<0,25-
<2,5-8,1 <5-14,5 - <5
21,5
2,5-34 0,3-2,5 - - -
3* 6* - - 9*
1-96 0,2-14,7 - - -"
6,1,Concentrations (ng/L)
6,1,E1 βE2 αE2 E3 EE2
6,1,"1,1-3,0 1,4-3,2 - 1,0-2,5 1,1-2,9
<0,1-3,4 <0,3-5,5 <0,1-3 - <0,1-4,3
0,2-10 <LOD[1]-7,1 - <LOD[2]-3,1 <LOD[3]
<LOD[4] <LOD[4] - - <LOD[4]
1,5 0,11 - 0,33 0,04
5-12 2-6 - 2-5 n.d.-1
4,3 6,3 - 8 -
- <LOD[5] - - -
0,2-6,6 0,6-1,0 - - -
27* 9* 30* 19* 73*
- 0,05-0,8 - - <0,05-0,07
- 0,38 - - -"
