page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7
8,1,Taille du marché et de niveau de vie,,,Infrastructures,,,
8,1,Population a,"PIB b (US $
billions)","PIB par
tête c","Routes
revêtues d","Lignes
téléphoniques","Utilisateurs
d’internet e","Taux
d’alphabétisation"
8,1,"8,79","5,771",360,"9,2",11,8,"34,7"
8,1,"15,74","4,623",263,"31,2","8,2","0,6","21,8"
8,1,"0,429","1,182",1576,"69,0","34,8","6,1","76,6"
8,1,"20,61","17,268",530,"8,1","23,4","1,1","48,7"
8,1,"1,5","0,511",374,"19,3","29,4","3,8","40,1"
8,1,23,"12,71",329,"17,2","24,7","2,7",71
8,1,"10,05","3,204",410,"9,8","2,3",",5","29,5"
8,1,"1,533","0,308",143,"27,9","7,9","2,3","42,5"
9,1,Taille du marché et de niveau de vie,,,Infrastructures,,,
9,1,Population a,"PIB b (US $
billions)","PIB par
tête c","Routes
revêtues d","Lignes
téléphoniques","Utilisateurs
d’internet e","Taux
d’alphabétisation"
9,1,"3,441","0,614",148,"6,2",",3","<,1","57,5"
9,1,"12,666","5,866",295,18,"8,3",",5","46,4"
9,1,"15,306","3,597",180,25,"2,5",",3","28,7"
9,1,"149,2","146,9",491,"15,0","25,3","3,8",68
9,1,"13,71","9,269",536,"29,2","27,4","5,4","39,3"
9,1,"6,44","1,480",261,8,"1,9",",2","35,1"
9,1,"6,019","2,718",245,"31,6","12,3","5,9","60,9"
9,1,"288,434*","14,401","409,4","21,6","14,6","2,9","46,7"
10,1,"Structure économique, fiscalité et économie informelle g",,,,,,
10,1,VA agricole,VA industrielle,VA service,Spécialisation h,,,
10,1,"33,2","14,5","52,3","6,4",,,
10,1,"29,1","19,9",51,"1,9",,,
10,1,"9,1","16,6","74,4",9,,,
10,1,28,"21,6","50,4","7,7",,,
10,1,"32,2","14,0","53,8",4,,,
10,1,38,"25,8","36,3",4,,,
10,1,"23,2","35,8","37,3",4,,,
10,1,62,12,26,1,,,
10,1,"76,9","5,4","12,7",3,,,
