page,table_id,col_1
11,1,
11,1,
11,1,
11,1,
11,1,
11,1,
12,1,"Obser-
vation",Moyenne,"Écart-
type","Coefficient
de
variation",Minimum
12,1,183,"176,46","59,94","0,33","105,15"
12,1,178,"291,44","63,15","0,21",244
12,1,173,"307,89","55,67","0,18","241,34"
12,1,168,"114,50","39,84","0,34","-89,83"
12,1,173,"131,17","29,41","0,22","-42,90"
16,1,ADF,"Proba-
bilité",PP,"Proba-
bilité"
16,1,"-0,099","0,712","-0,069","0,703"
16,1,"-11,641***","0,00","-11,641***","0,00"
16,1,"-0,449","0,518","-0,491","0,502"
16,1,"-9,764***","0,00","-9,580***","0,00"
17,1,ADF,"Proba-
bilité",PP,"Proba-
bilité"
17,1,"-0,187","0,617","-0,543","0,480"
17,1,"-18,685***","0,00","-18,457***","0,00"
17,1,"-0,449","0,518","-0,491","0,502"
17,1,"-9,764***","0,00","-9,580***","0,00"
18,1,Sankaryaré
18,1,"0,469***
(0,041)"
18,1,"0,817***
(0,054)"
18,1,178
18,2,Sankaryaré
18,2,"-0,068**
(0,016)"
18,2,"0,261***"
18,2,"(0,037)"
18,2,166
20,1,Sankaryaré
20,1,"-0,221***
(0,034)"
20,1,"-0,542***
(0,011)"
20,1,174
20,1,"-5,212***"
20,1,"11,422***"
20,1,"6,341***"
20,2,Sankaryaré
20,2,"-0,173***
(0,034)"
20,2,"-0,395**
(0,022)"
20,2,"0,116**
(0,033)"
20,2,"0,045
(0,010)"
20,2,170
20,2,"6,551***"
21,1,Sankaryaré
21,1,"t = -0,119"
21,1,"-0,204***
(0,031)"
21,1,"-0,485***
(0,042)"
21,1,169
21,1,"-4,701**"
21,1,"9,801***"
21,1,"7,410***"
22,1,Sankaryaré
22,1,"-0,193***
(0,052)"
22,1,"-0,481**
(0,052)"
22,1,"0,106**
(0,012)"
22,1,"0,085
(0,024)"
22,1,168
22,1,"7,523***"
24,1,
24,1,
24,1,
24,1,
24,1,
24,1,
24,1,
24,2,,Statistique t
24,2,,"-10,466"
24,2,"1 % niveau
5 % niveau
10 % niveau","-2,57
-1,943
-1,615"
25,1,,Statistique t
25,1,,"-4,803"
25,1,1 % niveau,"-2,579"
25,1,5 % niveau,"-1,942"
25,1,10 % niveau,"-1,615"
25,2,"Hypothèse
alternative","Test du
rang","Valeur critique
(5 %)"
25,2,"1
2","17,106
2,010","15,494
3,841"
25,3,"Hypothèse
alternative","Test du
rang","Valeur critique
(5 %)"
25,3,1,"17,288","15,494"
25,3,2,"2,305","3,841"
26,1,Test F
26,1,"8,388
1,342"
26,2,Test F
26,2,"10,680
1,927"
26,3,
26,3,
26,3,
26,3,
26,3,
26,3,
27,1,
27,1,
27,1,
27,1,
27,1,
27,1,
