page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
8,1,,NIVEAU D’ÉDUCATION,,,,,,"Total selon
le groupe d’âge",
8,1,,"Aucun/ Secon-
daire/ DEP (A)",,"Collégial/
Certificat (B)",,Universitaire (C),,,
8,1,"Revenu
personnel",N,%,N,%,N,%,"N par niveau
de revenu","% par niveau
de revenu"
8,1,"- 40 K
40 K à 60 K
+ 60 K","126
26
15","75,4AC
15,6
9,0","76
19
10","72,4BC
18,1
9,5","42
57
17","36,2
49,1ABC
14,7","244
102
42
388","62,9
26,3
10,8
100,0"
8,1,,167,"43,0",105,"27,0",116,"29,9",,
8,1,"- 40 K
40 K à 60 K
+ 60 K","154
69
40","58,6ABC
26,2
15,2","93
88
44","41,3BC
39,1AB
19,6","67
96
127","23,1
33,1
43,8ABC","314
253
211
778","40,4
32,5
27,1
100,0"
8,1,,263,"33,8",225,"22,9",290,"37,3",,
8,1,"- 40 K
40 K à 60 K
+ 60 K","97
37
20","63,0ABC
24,0
13,0","45
38
23","42,5BC
35,8
21,7","24
28
69","19,8
23,1
57,0ABC","166
103
112
381","43,6
27,0
29,4
100,0"
8,1,,154,"40,4",106,"27,8",121,"31,8",,
8,1,"- 40 K
40 K à 60 K
+ 60 K",N,%,N,%,N,%,N,% Total
8,1,,"377
132
75","64,6ABC
22,6
12,8","214
145
77","49,1BC
33,3AB
17,7","133
181
213","25,2
35,4AC
40,4ABC","724
458
365","46,8
29,6
23,6"
8,1,Grand total,N,%,N,%,N,%,1547*,
8,1,,584,"37,7",436,"28,2",527,"34,1",,
10,1,,"Sans
groupe",1,2,3,4,5,,
10,1,,%,%,%,%,%,%,,
10,1,"Non
Oui","51,9
48,1","100,0
0,0","0,0
100,0","0,0
100,0","100,0
0,0","8,6
91,4",,
10,1,"Non
Oui","29,8
70,2","53,4
46,6","0,0
100,0","0,0
100,0","49,5
50,5","100,0
0,0",,
10,1,"Non
Oui","51,9
48,1","70,9
29,1","38,5
61,5","25,2
74,8","63,2
36,8","37,7
62,3",,
10,1,"Non
Oui","68,3
31,7","100,0
0,0","100,0
0,0","0,0
100,0","0,0
100,0","42,9
57,1",,
10,1,"Avant 65
65
Après 65","0,0
0,0
100,0","47,1
52,9
0,0","73,2
26,8
0,0","66,5
33,5
0,0","45,3
40,0
14,7","40,5
33,4
26,1",,
10,1,"N
%","104
6","189
12","239
15","349
22","380
24","326
21",,
11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,,,,,,,,,
11,2,,"Sans
groupe",1,2,3,4,5,,
11,2,"- 40 K
40 K à 60 K
+ 60 K",%,%,%,%,%,%,,
11,2,,"50,0
27,5
22,5","77,3
17,1
5,6","20,3
42,3
37,5","20,9
36,4
42,7","66,9
23,7
9,5","48,9
29,2
21,9",,
11,2,"Secondaire
Collégial
Université","35,0
25,2
39,8","56,1
24,3
19,6","18,8
28,0
53,1","25,0
30,7
44,3","51,3
27,6
21,1","39,1
29,5
31,4",,
17,1,"χ2 de
différence
de vraisem-
blance2",B3,ES,Wald4,,,,,
17,1,"43,3
31,2
30,5
29,0
21,6
16,3
10,9
6,15
5,39
4,55
2,67","1,20
0,87
1,87
0,53
1,48
1,38
1,27
0,31
0,60
1,22
-0,44
0,59
-0,29","0,20
0,17
0,40
0,38
0,28
0,31
0,33
0,34
0,19
0,52
0,19
0,28
0,18","37,2***
26,6***
22,1***
1,93
27,5***
19,8***
14,4***
0,88
10,3**
5,38*
5,26*
4,56*
2,61",,,,,
18,1,Prédit,,,Observé,,,,,
18,1,2,4,% correct,,2,4,,,
18,1,0,239,"0,0 %",2,171,46,,,
18,1,0,380,"100,0 %",4,38,322,,,
18,1,"0,0 %","100,0 %","61,4 %",% global,"36,2 %","63,8 %",,,
