page,table_id,col_1,col_2,col_3,col_4,col_5,col_6
5,1,1999,2001,2009,2010,2011,"1999­2011
Variation
en %"
5,1,"9 856
3 280
1 938
944
910
96
668
608
228
153
556","9 193
2 782
1 764
884
866
211
620
571
223
142
541","8 350
2 061
1 354
853
824
781
312
477
178
121
429","8 076
2 018
1 298
833
821
727
305
427
169
121
422","7 865
1 999
1 206
808
806
696
300
413
164
123
407","-20,2
-39,1
-37,8
-14,4
-11,4
+625,0
-55,1
-32,1
-28,1
-19,6
-26,8"
6,1,"Établisse­
ments de
crédit","OPCVM
moné­
taires",Autres,"Banques
centrales",,
6,1,"6 180
1 894
656
741
765
480
284
334
155
108","1 088
49
466
14
16
109
7
73
3
13","31
4
0
3
0
0
2
1
0
0","18
1
1
1
1
1
1
1
1
1",,
8,1,,,,,,
8,1,,,,,,
8,2,,,,,,
8,2,,,,,,
8,3,,,,,,
8,3,,,,,,
8,4,,,,,,
8,4,,,,,,
8,5,,,,,,
8,5,,,,,,
8,6,,,,,,
8,6,,,,,,
9,1,Banque,"Total de l’actif
(Mds d’€)",,,,
9,1,"Deutsche Bank (DE)
HSBC (RU)
BNP Parisbas (FR)
Crédit Agricole (FR)
Barclays (RU)
RBS (RU)
Santander (ESP)
Société Générale (FR)
Lloyds banking Group (RU)
Groupe BPCE (FR)","2 164
1 968
1 965
1 880
1 871
1 804
1 252
1 181
1 161
1 138",,,,
13,1,"2000
DE","2000
FR","2006
DE","2006
FR","2009
DE",
13,1,"66,6
33,4
(79,3)
(17,8)
(2,9)","39,1
60,9
(40,-)
(30,-)
(30,-)","70,9
29,1
(85,5)
(13,-)
(1,5)","25,4
74,6
(34,3)
(30,-)
(35,7)","79,6
20,4
(123,3)
(32,4)
(-55,7)",
13,2,"2000
Canada*","2000
USA","2006
Canada","2006
USA**","2009
Canada",
13,2,"47,-
53,-
–
–
–","60,3
39,7
(76,1)
(-7,2)
(25,5)","49,4
50,6
–
–
(100)","58,4
41,6
(45,-)
(9,6)
(55,2)","55,8
44,2
–
–
–",
14,1,2000,2006,,,,
14,1,"17,1
19,4
128,4
17,8","24,5
39,3
216,9
28,6",,,,
16,1,"2000
DE","2000
FR","2000
USA","2000
Canada","2006
DE","2006
FR","2006
USA"
16,1,"21,6
48,4
23,6
6,4
100","32,2
36,8
20,2
10,8
100","2,3
61,7
21,0
15,0
100","19,3
38,2
33,1
9,4
100","22,4
46,6
26,6
4,4
100","28,2
32,7
25,4
13,7
100","2,1
60,9
20,1
16,9
100"
16,2,"2000
DE","2000
FR","2000
USA","2000
Canada","2006
DE","2006
FR","2006
USA"
16,2,"2,1
28,1
42,5
17,3
10,0
100","0,1
36,8
28,3
17,2
17,6
100","–
2,7
55,0
1,1
41,2
100","ns
31,4
39,4
14,2
15,0
100","3,4
26,2
44,6
15,6
10,2
100","–
30,4
28,6
17,6
23,4
100","ns
2,5
61,3
1,3
34,9
100"
17,1,"2009
DE","2009
FR","2009
USA",,,
17,1,"20,3
47,6
26,2
5,9
100","26,5
32,0
21,6
19,9
100","2,6
54,2
23,0
20,2
100",,,
17,2,"2009
DE","2009
FR","2009
USA",,,
17,2,"2,3
22,2
48,7
15,3
11,5
100","0,3
27,3
30,3
15,8
26,3
100","-
-
65,1
1,1
33,8
100",,,
