page,table_id,col_1,col_2,col_3,col_4
8,1,"Degré
d’ouverture
économique(a) (c)","Taux
d’inflation(b)",,
8,1,,,"Agri-
culture",Industrie
8,1,"0,36","4,8 %",7 %,48 %
8,1,"0,59","0,9 %",1 %,35 %
8,1,"1,01","1,7 %",3 %,46 %
8,1,"0,36","3,5 %","0,3 %",60 %
8,1,"0,43","3,2 %",3 %,40 %
8,1,"0,44","4,0 %",1 %,49 %
12,1,,Type de régression,"Statistique
de Student","Valeur
critique
(5 %)"
12,1,DF,"Constante, tendance","-2,866","-3,50"
12,1,DFA,"Constante, tendance","-3,063","-3,50"
12,1,,"Constante, sans tendance","-1,033","-2,93"
12,1,DF,"Constante, tendance","-2,678","-3,50"
12,1,DFA,"Constante, tendance","-3,259","-3,50"
12,1,,"Constante, sans tendance","-1,439","-2,93"
12,1,DF,"Constante, tendance","-0,086","-3,50"
12,1,DFA,"Constante, tendance","-1,719","-3,50"
12,1,,"Constante, sans tendance","-2,143","-2,93"
12,1,DF,"Constante, tendance","-1,779","-3,50"
12,1,DFA,"Constante, tendance","-1,779","-3,50"
12,1,,"Constante, sans tendance","-1,399","-2,93"
12,1,DF,"Constante, tendance","-2,828","-3,50"
12,1,DFA,"Constante, tendance","-2,846","-3,50"
12,1,,"Constante, sans tendance","-1,68","-2,93"
12,1,DF,"Constante, tendance","0,324","-3,50"
12,1,DFA,"Constante, tendance","0,729","-3,50"
12,1,,"Constante, sans tendance","-2,101","-2,93"
13,1,Test,10 %,5 %,
13,1,"3,94","7,52","9,24",
13,1,"9,33","17,85","19,96",
13,1,"21,12","32,00","34,91",
13,1,"37,17","49,65","53,12",
13,1,"60,33","71,86","76,07",
13,1,"100,89","97,18","102,14",
14,1,Constante,"Arabie
saoudite",Qatar,"Émirats
arabes
unis",Koweït,Bahreïn
14,1,"-1,05799","1,00000","1,05474","-1,72110","-0,25327","-0,92480"
14,1,,"-0,24142","-0,09101","-0,44804","-0,10768","-0,01729"
