page,table_id,col_1,col_2,col_3,col_4,col_5
12,1,LC,"CBD K
1","CBD K
2",CP1,CP2
12,1,"0,9986
–0,9551
1,0000
–0,0070
–0,0018","0,9936
–0,9381
0,9989
0,0458
0,0039","–0,9004
–0,8455
–0,9530
0,3027
0,0052","0,9998
0,9954
–0,8927
0,0000
0,0000","–0,0174
0,0954
0,4497
0,0000
0,0000"
16,1,"Actualisation
à 6,75 %","Actualisation
à 5,98 %",,,
16,1,Femmes Hommes,Femmes Hommes,,,
16,1,"1041 $ 944 $
1028 $ 941 $
1031 $ 996 $
1042 $ 945 $
1042 $ 944 $
1042 $ 945 $","1120 $ 1008 $
1105 $ 1005 $
1108 $ 1070 $
1121 $ 1009 $
1120 $ 1009 $
1120 $ 1009 $",,,
18,1,H=1,H=2,H=3,H=4,H=5,H=6,H=7,H=8,H=9
18,1,"0,86
0,81
0,91
0,85
0,58
0,58","0,92
0,86
1,07
0,91
0,76
0,76","1,00
0,88
1,20
0,98
0,90
0,90","1,06
0,99
1,29
1,05
1,01
1,01","1,14
1,07
1,38
1,13
1,11
1,11","1,21
1,16
1,47
1,20
1,20
1,20","1,28
1,26
1,52
1,27
1,27
1,27","1,35
1,34
1,60
1,34
1,35
1,35","1,42
1,43
1,66
1,41
1,42
1,42"
18,2,H=1,H=2,H=3,H=4,H=5,H=6,H=7,H=8,H=9
18,2,"0,38
(-0,703)","0,42
(-0,673)","0,69
(-0,490)","0,38
(-0,704)","0,36
(-0,722)","0,32
(-0,747)","0,12
(-0,906)","0,08
(-0,935)","-0,09
(-0,925)"
18,2,"2,53
(-0,011)","2,30
(-0,021)","2,39
(-0,017)","1,88
(-0,061)","1,98
(-0,048)","2,02
(-0,044)","1,76
(-0,078)","1,73
(-0,084)","1,68
(-0,093)"
18,2,"0,30
(-0,765)","0,36
(-0,719)","0,64
(-0,523)","0,33
(-0,741)","0,30
(-0,762)","0,27
(-0,789)","0,06
(-0,953)","0,02
(-0,986)","-0,17
(-0,861)"
18,2,"-3,57
(-0,000)","-0,89
(-0,373)","0,15
(-0,879)","0,12
(-0,903)","0,21
(-0,834)","0,25
(-0,806)","0,09
(-0,929)","0,07
(-0,942)","-0,08
(-0,938)"
18,2,"-3,64
(-0,000)","-0,90
(-0,370)","0,15
(-0,882)","0,12
(-0,905)","0,21
(-0,836)","0,24
(-0,808)","0,08
(-0,933)","0,07
(-0,945)","-0,08
(-0,934)"
19,1,H=1,H=2,H=3,H=4,H=5,H=6,H=7,H=8,H=9
19,1,"1,13
0,94
0,99
1,13
0,74
0,74","1,23
0,95
1,17
1,24
0,96
0,96","1,35
0,98
1,38
1,37
1,18
1,18","1,49
1,08
1,58
1,52
1,39
1,40","1,61
1,15
1,77
1,64
1,56
1,57","1,72
1,21
1,96
1,75
1,70
1,71","1,84
1,31
2,14
1,86
1,83
1,84","1,93
1,38
2,31
1,95
1,94
1,94","2,02
1,46
2,46
2,03
2,03
2,03"
20,1,H=1,H=2,H=3,H=4,H=5,H=6,H=7,H=8,H=9
20,1,"1,36
(-0,172)","1,68
(-0,094)","1,84
(-0,065)","1,81
(-0,070)","1,94
(-0,052)","2,24
(-0,025)","2,60
(-0,009)","4,59
(-0,000)","4,85
(-0,000)"
20,1,"1,58
(-0,113)","3,31
(-0,001)","3,24
(-0,001)","2,49
(-0,013)","2,39
(-0,017)","2,49
(-0,013)","2,74
(-0,006)","3,89
(-0,000)","4,28
(-0,000)"
20,1,"1,38
(-0,167)","1,80
(-0,072)","2,05
(-0,040)","2,02
(-0,043)","2,16
(-0,031)","2,45
(-0,014)","2,70
(-0,007)","4,17
(-0,000)","7,20
(-0,000)"
20,1,"- 14,04
(-0,000)","0,25
(-0,806)","1,79
(-0,074)","1,83
(-0,068)","1,96
(-0,050)","2,17
(-0,030)","2,34
(-0,019)","3,16
(-0,002)","3,85
(-0,000)"
20,1,"-9,20
(-0,000)","0,28
(-0,778)","1,68
(-0,093)","1,79
(-0,073)","1,94
(-0,052)","2,17
(-0,030)","2,38
(-0,018)","3,30
(-0,001)","4,23
(-0,000)"
