page,table_id,col_1,col_2,col_3
5,1,Auteurs,Pays,Étudiants
5,1,Cooper et al. (1996),États-Unis,Oui
5,1,Hemesath et Pomponio (1998),"États-Unis
Chine","Oui
Oui"
5,1,Tyson et al. (1988),Afrique du Sud,Oui
5,1,Falk et al. (2005),Suisse,Oui
5,1,Andreoni (1995),États-Unis,Oui
5,1,List (2004),États-Unis,"Non
Non"
5,1,Barr (2001),Zimbabwe,Non
5,1,Barr et Kinsey (2002),Zimbabwe,"Non
Non"
6,1,Auteurs,Pays,Étudiants
6,1,Carpenter et al. (2004),Vietnam,Non
6,1,,Thaïlande,Non
6,1,Ensminger (2000),Kenya,"Non
Oui"
6,1,Gächter et al. (2004),Russie,Non
6,1,Henrich et Smith (2004),Pérou,Non
6,1,,Chili- Mapuche,Non
6,1,,Chili – Huinca,Non
6,1,Sefton et al. (2007),États-Unis,Oui
6,1,Gächter et Herrmann (2011),Russie,"Oui
Non
Non
Non"
16,1,Pays,"Type
d’expérience",
16,1,Canada,"L’étude combine
des aspects
d’expérience de
terrain et de
laboratoire",
16,1,Vietnam,"Expérience
de terrain",
16,1,Mozambique,"Expérience
de terrain",
16,1,Pays-Bas,"Enquête
Internet et
expérience
de laboratoire",
17,1,Pays,"Type
d’expérience",
17,1,Inde,"Expérience
de terrain",
17,1,Chine,"Expérience
de terrain",
17,1,53 pays,"Expérience
de laboratoire",
17,1,30 pays,"Expérience
de laboratoire",
21,1,Pays,Étudiants,"Fraction
envoyée","Fraction
reçue"
21,1,Russie,Oui,"0,49","0,29"
21,1,"Afrique
de Sud",Oui,"0,43","0,27"
21,1,États-Unis,Oui,"0,52","0,32"
21,1,États-Unis,Oui,"0,65","0,40"
21,1,États-Unis,Oui,"0,41","0,23"
21,1,Zimbabwe,Non,"0,43","0,43"
21,1,États-Unis,Oui,"0,65","0,45"
21,1,Chine,Oui,"0,73","0,50"
21,1,Japon,Oui,"0,68","0,50"
21,1,"Corée
du Sud",Oui,"0,64","0,49"
21,1,"Afrique
du Sud",Oui,"0,33","0,23"
21,1,Colombie,Oui,"0,50","0,41"
21,1,"Afrique
du Sud",Non,"0,53","0,38"
21,1,Honduras,Non,"0,49","0,42"
21,1,Tanzanie,Oui,"0,53","0,37"
21,1,Suède,Oui,"0,51","0,35"
21,1,Tanzanie,Non,"0,56","0,46"
22,1,Pays,Étudiants,"Fraction
envoyée","Fraction
reçue"
22,1,Kenya,Non,"0,44","0,18"
22,1,Costa Rica,"Oui
Non","0,40
0,59","0,32
0,44"
22,1,Kenya,Non,"0,30","0,41"
22,1,Bangladesh,Non,"0,46","0,48"
22,1,Pérou,Non,"0,46","0,43"
22,1,Bulgarie,Oui,"0,63","0,46"
22,1,Brésil,Oui,"0,56","0,34"
22,1,Ouganda,Non,"0,49","0,33"
22,1,Paraguay,Non,"0,47","0,44"
22,1,Russie,Non,"0,51","0,38"
23,1,Lieu,Étudiants,"Offre
moyenne"
23,1,États-Unis,Oui,"0,41"
23,1,,Non,"0,45"
23,1,Indonésie,Oui,"0,42"
23,1,Nigéria,Non,"0,43"
23,1,Pérou – Matsigenka,Non,"0,26"
23,1,Tanzanie – Hadza,Non,"0,40; 0,27"
23,1,Bolivie – Chimane,Non,"0,37"
23,1,Équateur – Quichua,Non,"0,27"
23,1,Mongolie – Torgut,Non,"0,35; 0,36"
23,1,Chili – Mapuche,Non,"0,34"
23,1,"Papouasie-
Nouvelle-Guinée – Au",Non,"0,43; 0,38"
23,1,Tanzanie – Sangu,Non,"0,41; 0,42"
