page,table_id,col_1,col_2,col_3,col_4
11,1,N,Min,Max,Moyenne
11,1,"851
917
1099","2,90e+07
2,70e+08
-2,956","6,00e+10
2,90e+11
3,561","3,22e+09
1,88e+10
-0,013"
12,1,Fréquence,Pourcentage,,
12,1,"405
107
415
927","43,69
11,54
44,77
100",,
13,1,logG,∆logG,logPIB,∆logPIB
13,1,"20,173
(1,014)","0,025
(0,203)","22,174
(1,051)","0,034
(0,051)"
13,1,"21,269
(2,246)","-0,006
(0,189)","23,039
(1,965)","0,016
(0,048)"
13,1,"21,064
(1,438)","0,048
(0,107)","22,861
(1,392)","0,042
(0,042)"
13,1,"20,679
(1,457)","0,032
(0,167)","22,578
(1,384)","0,036
(0,047)"
18,1,(3a),(3b),(3c),(4a),(4b)
18,1,"-0,028
(0,310)","-0,008
(0,318)","0,107
(0,356)","-0,019
(0,310)","0,053
(0,305)"
18,1,"1,000***
(0,014)","1,000***
(0,015)","0,995***
(0,017)","1,000***
(0,014)","0,997***
(0,014)"
18,1,"0,097***
(0,034)","0,092***
(0,035)","0,099***
(0,038)","0,090***
(0,032)","0,088**
(0,034)"
18,2,"0,042***
(0,003)",,,"0,042***
(0,002)",
18,2,,"0,020***
(0,007)",,,"0,017**
(0,008)"
18,2,,,"-0,059***
(0,014)",,
19,1,,,,"0,020***
(0,002)",
19,1,,,,,"0,004
(0,005)"
19,1,,,,,
19,1,"789
34
0,000
0,017
0,280
0,406","789
34
0,000
0,016
0,273
0,422","789
34
0,000
0,017
0,277
0,392","789
34
0,000
0,017
0,275
0,391","789
34
0,000
0,016
0.275
0,470"
