page,table_id,col_1,col_2,col_3,col_4,col_5
10,1,MKT,,SMB,,
10,1,"–
F","θ
MKT","–
F","θ
SMB","–
F"
10,1,38*,"(-437,-55)",33*,"(-17,14)",53*
10,1,30,Ø,43,Ø,33
10,1,44*,"-∞,-194) U
(1156,∞",-16,R,56*
10,1,103,Ø,4,Ø,29
10,1,14,"(-79,245)",57*,"(-146,3)",40
11,1,MKT,,SMB,,
11,1,"–
F","θ
MKT","–
F","θ
SMB","–
F"
11,1,38*,"(-642,-14)",33,"(-11,83)",53
11,1,30*,"(-621,-54)",43,"(-26,158)",33
11,1,44*,"-∞,-198) U
(807,∞",-16,R,56
11,1,103*,"-∞,-432) U
(3087,∞",4*,"-∞,-1499) U
(97,∞",29
11,1,14,"(-100,1226)",57,"(-1089,66)",40
13,1,MKT,,,,
13,1,"–
F","θ
MKT","–
F",,
13,1,"0,0106",Ø,"0,0007",,
13,1,"-0,0202 -∞,
-0,0375)
U(0,0067 +∞*","(0,008 0,040)*","0,0059 -∞,
-0,0050)
U(0,0520 +∞*",,
13,1,"0,0145 R","(-0,023 0,009)*","0,0018 -∞,
-0,0052)
U(0,0248 +∞*",,
13,1,"0,0080 R","(-0,0489 0,394)","0,0021 -∞,
-0,0084)
U(0,0114 +∞*",,
15,1,"θ
MKTG","θ
MKTD","θ
SMBG","θ
SMBD","θ
HMLG","θ
HMLD","θ
MOMG"
15,1,"R
(-0,1588
0,0532)","R
(-0,0640
0,1770)","R
(-0,1217
0,0839)","R
(-0,0689
0,0964)","R
(-0,1833
0,1318)","R
(-0,1955
0,1225)","R
(-0,1038
0,1643)"
15,1,"R
(-0,1052
0,0727)","R
(-0,0638
0,0752)","R
(-0,2784
0,4893)","R
(—,1844
0,1081)","R
(-0,2597
0,5330)","R
(-0,3344,
0,1983)","R
(-0,2341
0,2672)"
15,1,"R
(-0,1311
0,0068)*","R
(-0,0140
0,1277)","R
(-0,0792
0,0408)","R
(-0,0390
0,0254)","R
(-0,0317
0,0727)","R
(-0,1096
0,0444)",
15,1,"R
(-0,0553
0,0282)","R
(-0,0208
0,0547)","R
(-0,1532
0,3294)","R
(-0,1412
0,0583)","R
(-0,1150
0,3260)","R
(-0,1981
0,0957)",
15,1,"R
(-0,1051
-0,0031)*","R
(-0,0029
0,0993)","R
(-0,0789
0,0143)","R
(-0,0228
0,0218)",,,
15,1,"R
(-0,1067
0,0518)","R
(-0,0672,
0,1585)","R
(-0,3429
0,7349)","R
(-0,2381
0,1191)",,,
