page,table_id,col_1,col_2,col_3,col_4
6,1,"Polluant,
base de
données","Échantillon,
période","Forme
CKE","Points de
retournement"
6,1,"Émissions de
SO , CO et
2 2
NOx combi-
nées (CSY)","30 villes et
provinces,
1982-1997","Monotone
croissante,
avec point
d’inflexion",—
6,1,"Concentrations
de SO (CSY)
2","99 villes,
1992-2001",U inversé,"6 471 yuans
(2000 ¥)"
6,1,"Émissions de
SO (CSY)
2","31 villes et
provinces,
1990-2001",U inversé,1 395 yuans
6,1,"Émissions de
SO (CSY)
2",1998-2004,U inversé,—
6,1,"Émissions de
SO (CSY)
2","31 villes et
provinces,
1993-2002","U non
inversé",—
7,1,"Polluant,
base de
données","Échantillon,
période","Forme
CKE","Points de
retournement"
7,1,"Concentrations
de SO (CSY)
2","128 villes,
1990-2004","U inversé,
forme en N","9 110 – 16 029
yuans"
7,1,"Émissions de
gaz atmosphé-
riques (CSY)","29 villes et
provinces,
1985-2005",U inversé,"29 017 yuans
(2000 ¥)"
7,1,"Émissions de
SO (CSY)
2",1985-1999,"Pas de rela-
tion en U
inversé",—
7,1,"Émissions
industrielles
de SO par
2
habitant
(CSY)","29 villes et
provinces,
1992-2003","U inversé,
forme en N","8 645 – 11 311
yuans
(1990 ¥)"
11,1,Définition des variables,Unités,Obs.,Moyenne,Écart-type,Min
11,1,"Émissions industrielles annuelles de
SO par habitant
2
PIB réel par habitant
Nombre d’entreprises
Nombre d’entreprises étatiques
Ratio de la production brute étatique
Production brute réelle
Formation brute réelle de capital
fixe
Capital par travailleur industriel
Travailleurs industriels / Nombre de
firmes industrielles
Volume de ventes / Nombre de fir-
mes industrielles
Stock de capital fixe / Nombre de
firmes industrielles","kg/personne
Yuans/personne
%
Milliards de
yuans
Milliards de
yuans
Yuans
Personnes
Yuans
Yuans","290
290
290
290
290
290
290
290
290
290
290","18,93
5 553
7 394
1 396
56 %
272
218
75 118
583,2
34 306 340
40 495 130","11,90
3 869
8 564
842
21 %
391
186
38 877
217,2
16 307 410
21 276 700","2,51
1 047
388
87
12 %
7
17
27 629
201,5
10 605 700
10 502 120"
13,1,,,,
13,1,,,,
13,1,,,,
13,1,,,,
13,1,,,,
15,1,Quadratique,,,
15,1,CKE simple,"AD(1,0)",CKE simple,
15,1,EA EF,EA EF,EA EF,
15,1,,"-0,0421 -0,155
(0,122) (0,291)",,
15,1,"3,059*** 3,559*
(0,896) (1,869)","2,527** 3,348
(1,033) (2,751)","9,614*** 12,09***
(1,512) (3,440)",
15,1,"-0,117*** -0,131**
(0,0319) (0,0641)","-0,102*** -0,127
(0,0346) (0,0878)","-0,650*** -0,803***
(0,0983) (0,225)",
15,1,,,"0,0142*** 0,0176***
(0,00229) (0,00507)",
15,1,"-0,119 -0,295
(0,278) (0,529)","0,297 0,0776
(0,294) (0,698)","-1,190*** -1,774**
(0,338) (0,688)",
15,1,"8,907*** 9,162***
(2,462) (2,547)","5,937** 7,583*
(2,707) (3,771)","3,905 3,240
(2,421) (3,446)",
