page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
8,1,,,,,,,,,,
8,1,,,,,,,,,,
8,1,,,,,,,,,,
8,1,,,,,,,,,,
8,1,,,,,,,,,,
8,1,,,,,,,,,,
9,1,Statut et temps écoulé depuis l’immigration,Rapports de risque,,,,,,,,
9,1,,Hommes,Femmes,,,,,,,
9,1,Immigrants — moins de 5 ans,"0,59","0,70",,,,,,,
9,1,Immigrants — 5 à 9 ans,"0,74","0,82",,,,,,,
9,1,Immigrants — 10 ans ou plus,"0,86","0,90",,,,,,,
9,1,Non-immigrants,"1,05","1,03",,,,,,,
9,1,Ensemble de la population (référence),"1,00","1,00",,,,,,,
10,1,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,
12,1,,Arrivées annuelles d’immigrants,"Fécondité, mortalité et émigration
différentielles des nouveaux
immigrants*",Natalité des nouveaux immigrants*,,,,,,
12,1,1. Scénario de référence,"Taux d’immigration annuel
de 7,5 pour mille",Oui,Oui,,,,,,
12,1,2. Immigration nulle,Aucune immigration dès 2006,Non applicable,Non applicable,,,,,,
12,1,3. Fécondité nulle des immigrants,"Taux d’immigration annuel
de 7,5 pour mille","Oui (non applicable pour
la fécondité)","Les immigrants ne donnent naissance
à aucun enfant dès 2006",,,,,,
12,1,"4. Comportements démographiques
convergents","Taux d’immigration annuel
de 7,5 pour mille",Non,Oui,,,,,,
12,1,5. Fécondité convergente,"Taux d’immigration annuel
de 7,5 pour mille",Pas de fécondité différentielle,Oui,,,,,,
12,1,6. Mortalité convergente,"Taux d’immigration annuel
de 7,5 pour mille",Pas de mortalité différentielle,Oui,,,,,,
12,1,7. Émigration convergente,"Taux d’immigration annuel
de 7,5 pour mille",Pas d’émigration différentielle,Oui,,,,,,
16,1,,Scénario,2006,2016,2026,2036,2046,2056,2066,2076,2086,2096,2106
16,1,Population,,,,,,,,,,,,
16,1,"Population totale
(en millions)",1-Référence,"32,1","36,3","40,0","43,3","46,5","49,8","53,3","56,8","60,5","64,5","68,7"
16,1,,2-Immigration nulle,"32,1","33,5","33,7","33,1","31,8","30,1","28,3","26,6","24,8","23,3","21,9"
16,1,,3-Fécondité nulle des immigrants,"32,1","35,9","38,7","40,8","42,0","42,7","43,1","43,0","42,3","41,3","40,1"
16,1,,4-Comportements convergents,"32,1","36,3","39,9","43,3","46,3","49,3","52,4","55,5","58,5","61,8","65,3"
16,1,Composantes,,,,,,,,,,,,
16,1,"Naissances
(en milliers)",1-Référence,363,402,420,428,471,499,524,563,602,637,675
16,1,,2-Immigration nulle,362,340,315,281,273,255,237,227,217,206,194
16,1,,3-Fécondité nulle des immigrants,362,340,315,281,273,255,237,227,217,206,194
16,1,,4-Comportements convergents,363,395,410,414,450,472,493,524,555,582,612
16,1,"Décès
(en milliers)",1-Référence,233,259,301,366,432,463,484,542,582,600,655
16,1,,2-Immigration nulle,233,256,292,349,402,408,383,377,359,319,306
16,1,,3-Fécondité nulle des immigrants,233,259,300,365,431,461,479,532,564,562,573
16,1,,4-Comportements convergents,234,261,304,372,441,477,504,565,604,621,667
16,1,"Émigrants
(en milliers)",1-Référence,40,54,61,65,69,75,80,85,91,98,104
16,1,,2-Immigration nulle,40,41,38,35,33,30,28,26,24,23,21
16,1,,3-Fécondité nulle des immigrants,40,53,59,61,62,62,62,60,58,57,55
16,1,,4-Comportements convergents,40,47,49,53,57,61,65,69,73,78,83
17,1,,Scénario,2006,2016,2026,2036,2046,2056,2066,2076,2086,2096,2106
17,1,Indicateurs de la structure par âge,,,,,,,,,,,,
17,1,Âge médian,1-Référence,"38,9","40,6","42,2","43,9","44,3","44,2","44,6","44,9","44,7","44,9","45,0"
17,1,,2-Immigration nulle,"38,9","42,2","44,9","47,8","49,8","49,7","49,9","50,1","49,5","49,0","48,8"
17,1,,3-Fécondité nulle des immigrants,"38,9","40,9","43,3","46,0","48,2","49,6","51,3","52,7","53,5","54,0","54,4"
17,1,,4-Comportements convergents,"38,9","40,6","42,3","44,1","44,7","44,7","45,2","45,5","45,3","45,4","45,6"
17,1,Âge moyen,1-Référence,"38,8","40,8","42,5","43,9","44,7","44,9","45,3","45,5","45,4","45,5","45,6"
17,1,,2-Immigration nulle,"38,8","41,8","44,4","46,9","48,4","48,8","49,1","49,2","48,9","48,6","48,4"
17,1,,3-Fécondité nulle des immigrants,"38,8","41,2","43,5","45,9","47,8","49,1","50,4","51,5","52,1","52,6","52,9"
17,1,,4-Comportements convergents,"38,8","40,8","42,6","44,1","45,0","45,3","45,6","45,8","45,7","45,8","45,9"
17,1,"Proportion de personnes
âgées de moins de 15 ans",1-Référence,"17,4","16,3","16,6","15,8","15,4","15,7","15,5","15,3","15,4","15,4","15,3"
17,1,,2-Immigration nulle,"17,4","15,6","15,0","13,9","13,3","13,6","13,5","13,4","13,7","13,9","14,0"
17,1,,3-Fécondité nulle des immigrants,"17,4","15,6","14,3","12,5","11,3","10,8","10,1","9,5","9,3","9,1","8,9"
17,1,,4-Comportements convergents,"17,4","16,2","16,3","15,4","15,0","15,1","14,9","14,8","14,8","14,8","14,7"
17,1,"Proportion de personnes
âgées de 65 ans ou plus",1-Référence,"13,3","16,5","21,1","24,1","24,9","26,0","26,4","26,4","26,5","26,7","26,7"
17,1,,2-Immigration nulle,"13,3","17,6","24,2","29,4","31,2","32,7","33,3","33,0","32,7","32,5","32,0"
17,1,,3-Fécondité nulle des immigrants,"13,3","16,6","21,8","25,6","27,5","30,0","32,2","33,9","35,1","35,9","36,3"
17,1,,4-Comportements convergents,"13,3","16,5","21,1","24,1","25,0","26,1","26,6","26,5","26,6","26,7","26,8"
20,1,,Scénario,2006,2016,2026,2036,2046,2056,2066,2076,2086,2096,2106
20,1,Population,,,,,,,,,,,,
20,1,,,,,,,,,,,,,
20,1,"Population totale
(en millions)",4-Comportements convergents,"0,0","0,0","0,0","0,1","0,2","0,5","0,8","1,3","2,0","2,7","3,4"
20,1,,5-Fécondité convergente,"0,0","0,0","0,2","0,3","0,5","0,8","1,2","1,7","2,3","3,0","3,8"
20,1,,6-Mortalité convergente,"0,0","0,0","0,0","0,1","0,2","0,3","0,4","0,6","0,8","1,1","1,3"
