page,table_id,col_1,col_2,col_3,col_4
9,1,,Origine,,
9,1,Destination,A,B,C
9,1,A,"0,15","-0,30","-0,15"
9,1,B,"-0,10","0,40","-0,20"
9,1,C,"-0,05","-0,10","0,35"
10,1,,Origine,,
10,1,Destination,A,B,C
10,1,A,"0,8763","0,2363","0,1405"
10,1,B,"0,0806","0,6887","0,1445"
10,1,C,"0,0431","0,0750","0,7150"
10,2,,Année,,,,,,,,,,
10,2,État,0,1,2,3,4,5,6,7,8,9,10
10,2,A,4000,4636,5086,5405,5629,5787,5897,5975,6029,6067,6094
10,2,B,3000,2822,2685,2581,2504,2448,2407,2378,2357,2343,2332
10,2,C,3000,2542,2229,2014,1867,1765,1695,1647,1613,1590,1574
12,1,,Origine,,
12,1,Destination,A,B,C
12,1,A,"7,1","4,9","4,2"
12,1,B,"1,8","3,8","2,2"
12,1,C,"1,1","1,3","3,6"
12,1,Total,10,10,10
16,1,,Année,,,,,,,,,,
16,1,État,0,1,2,3,4,5,6,7,8,9,10
16,1,A,4000,4638,5131,5447,5671,5891,5976,6039,6064,6121,6105
16,1,B,3000,2818,2666,2538,2474,2350,2340,2334,2315,2272,2312
16,1,C,3000,2544,2203,2015,1855,1759,1684,1627,1621,1607,1583
16,2,,Origine,,
16,2,Destination,A,B,C
16,2,A,"7,4","4,6","3,9"
16,2,B,"1,6","4,2","2,1"
16,2,C,1,"1,2",4
16,2,Total,10,10,10
18,1,,ncas,%,cum %,ns,cas,tr1,tr2,tr3,tr4
18,1,1,930,"23,25","23,25",1,A,,,,
18,1,2,696,"17,40","40,65",3,ABA,"3,86>B","5,94>A",,
18,1,3,289,"7,22","47,88",2,AB,"7,08>B",,,
18,1,4,214,"5,35","53,22",2,AC,"6,41>C",,,
18,1,5,199,"4,97","58,20",3,ACA,"3,62>C","5,85>A",,
18,1,6,159,"3,98","62,17",4,ABAB,"3,25>B","5,28>A","8,02>B",
18,1,7,144,"3,60","65,77",4,ACBA,"3,14>C","5,09>B","7,07>A",
18,1,8,136,"3,40","69,17",5,ABABA,"2,43>B","4,04>A","6,39>B","7,91>A"
18,1,9,120,"3,00","72,17",3,ACB,"5,11>C","7,78>B",,
18,1,10,119,"2,98","75,15",3,ABC,"4,49>B","7,1>C",,
18,1,,ncas,%,cum %,ns,cas,tr1,tr2,tr3,tr4
18,1,1,736,"24,53","24,53",2,BA,"3,15>A",,,
18,1,2,330,"11,00","35,53",4,BABA,"1,89>A","5,06>B","6,95>A",
18,1,3,226,"7,53","43,07",3,BAB,"2,39>A","7,66>B",,
18,1,4,136,"4,53","47,60",3,BCA,"2,47>C","5,43>A",,
18,1,5,129,"4,30","51,90",4,BCBA,"2,06>C","4,21>B","6,35>A",
18,1,6,118,"3,93","55,83",3,BAC,"2,41>A","7,19>C",,
18,1,7,104,"3,47","59,30",4,BACA,"2,25>A","5,25>C","7,09>A",
18,1,8,77,"2,57","61,87",3,BCB,"3,22>C","6,85>B",,
18,1,9,73,"2,43","64,30",5,BABAB,"1,48>A","4,15>B","5,82>A","8,37>B"
18,1,10,71,"2,37","66,67",4,BABC,"2,12>A","5,75>B","7,82>C",
18,1,,ncas,%,cum %,ns,cas,tr1,tr2,tr3,tr4
18,1,1,518,"17,27","17,27",3,CBA,"2,71>B","5,16>A",,
18,1,2,420,"14,00","31,27",2,CA,"3,4>A",,,
18,1,3,202,"6,73","38,00",4,CABA,"1,98>A","5,25>B","7,15>A",
18,1,4,161,"5,37","43,37",2,CB,"5,29>B",,,
18,1,5,141,"4,70","48,07",3,CAB,"2,8>A","7,7>B",,
18,1,6,141,"4,70","52,77",4,CBAB,"2,41>B","4,28>A","7,99>B",
18,1,7,125,"4,17","56,93",5,CBABA,"1,7>B","3,43>A","5,76>B","7,48>A"
18,1,8,89,"2,97","59,90",1,C,,,,
18,1,9,81,"2,70","62,60",4,CBAC,"2,45>B","4,22>A","7,77>C",
18,1,10,80,"2,67","65,27",3,CAC,"2,41>A","6,82>C",,
