page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
11,1,"Nombre et type
de transitionsa",,Groupes d’âge,,,,,,,,,
11,1,,,34 à 43 ans,,44 à 53 ans,,54 à 63 ans,,64 à 73 ans,,74 à 83 ans,
11,1,,,Cohortes de naissance,,,,,,,,,
11,1,,,1963-1972,,1953-1962,,1943-1952,,1933-1942,,1923-1932,
11,1,,,Hommes,Femmes,Hommes,Femmes,Hommes,Femmes,Hommes,Femmes,Hommes,Femmes
11,1,,,Jusqu’à l’âge de 45 ans,,,,,,,,,
11,1,1,1re union,"95,1","96,3","96,8","97,4","97,7","97,5","97,0","97,9","97,9","97,3"
11,1,2,Fin de 1re union,"44,2","47,2","47,9","50,1","38,1","43,6","25,6","30,2","12,1","25,1"
11,1,3,2e union,"37,4","39,9","39,3","40,2","30,2","30,0","19,0","19,3","8,5","14,7"
11,1,4,Fin de 2e union,*,*,"17,2","22,2","15,0","13,2",—,—,—,—
11,1,5,3e union,*,*,"13,1","14,2","10,1","8,8",—,—,—,—
11,1,,,Jusqu’à l’âge de 55 ans,,,,,,,,,
11,1,1,1re union,*,*,"97,1","97,7","98,2","97,9","97,6","98,0","99,0","97,5"
11,1,2,Fin de 1re union,*,*,"50,3","53,8","46,2","52,1","34,3","41,2","22,3","36,1"
11,1,3,2e union,*,*,"43,7","43,9","39,9","38,0","26,8","25,5","16,1","22,7"
11,1,4,Fin de 2e union,*,*,"23,2","26,5","22,1","21,1","11,2","11,2",—,—
11,1,5,3e union,*,*,"18,5","18,8","15,5","12,8","7,8",—,—,—
11,1,,,Jusqu’à l’âge de 65 ans,,,,,,,,,
11,1,1,1re union,*,*,*,*,"98,3","97,9","97,8","98,0","99,0","97,7"
11,1,2,Fin de 1re union,*,*,*,*,"48,1","55,4","40,9","53,2","29,3","53,9"
11,1,3,2e union,*,*,*,*,"43,0","40,9","31,8","27,9","22,9","24,6"
11,1,4,Fin de 2e union,*,*,*,*,"24,9","25,3","13,9","17,0",—,"12,8"
11,1,5,3e union,*,*,*,*,"19,3","15,1","10,5",—,—,—
13,1,Trajectoires conjugales,Groupes d’âge,,,,,,,,,,
