page,table_id,col_1,col_2,col_3,col_4,col_5,col_6
17,1,Caractéristiques,Total,État matrimonial,,Séparation,
17,1,,,Mariés,Union libre,"Non
séparés",Séparés
17,1,Indicateurs de rendement,,,,,
17,1,Premier de classe,,,,,
17,1,en lecture,"33,0","35,7","30,6†","36,3","22,6***"
17,1,en écriture,"26,4","27,9","25,0","28,5","19,9**"
17,1,en mathématiques,"31,7","33,4","30,2","33,9","25,0**"
17,1,dans l’ensemble,"27,0","29,5","24,7†","29,9","18,3***"
17,1,test,,,,,
17,1,Lecture et déchiffrement (moyenne),"13,1","13,4","12,8†","13,3","12,4*"
17,1,Lecture et compréhension (moyenne),"9,5","9,2","9,7†","9,5","9,3"
17,1,Connaissance des nombres (moyenne),"19,7","19,8","19,6","19,8","19,4"
17,1,Caractéristiques démographiques des enfants,,,,,
17,1,Parents en union libre à la naissance,"52,0",—,—,"45,4","71,5***"
17,1,Parents séparés depuis la naissance,"25,2","14,0","34,7***",—,—
17,1,Garçons,"47,7","46,7","48,5","47,3","48,8"
17,1,Âge de l’enfant au 8e passage (en mois),"85,7","85,7","85,7","85,7","85,7"
17,1,Parle uniquement le français,"75,0","57,3","91,2***","72,4","83,0***"
17,1,Premier enfant du couple,"48,7","38,6","58,0***","46,9","53,9*"
17,1,demi-fratrie d’une union antérieure,"14,9","8,3","21,0***","10,7","27,4***"
18,1,Caractéristiques,Total,État matrimonial,,Séparation,
18,1,,,Mariés,Union libre,"Non
séparés",Séparés
18,1,Stimulation cognitive dans le milieu familial,,,,,
18,1,Lecture régulière avant 29 mois,"83,9","87,1","81,0**","85,1","80,4†"
18,1,Forte verbalisation de la mère à au moins un passage,"46,3","48,1","44,6","48,1","40,7*"
18,1,40 livres pour enfants et plus à la maison,"69,3","69,7","68,9","72,0","61,0***"
18,1,Milieu socio-économique et relationnel,,,,,
18,1,sous le seuil de faible revenu (nb. d’épisodes),"1,39","1,09","1,66***","0,93","2,74***"
18,1,en mauvaise santé (nb. d’épisodes),"0,75","0,68","0,82†","0,67","1,00**"
18,1,Faible fonctionnement familial à au moins un passage,"41,2","40,9","41,5","37,0","53,6***"
18,1,symptômes élevés de dépression de la mère à 5 mois ou 1½ an,"33,3","30,5","35,8†","28,4","47,8***"
18,1,mode de garde à 3½ ans,,,,,
18,1,non gardé,"29,2","29,3","29,1","31,1","23,7*"
18,1,au domicile,"5,7","7,7","3,9**","5,5","6,2"
18,1,en milieu familial,"34,0","30,7","37,1*","34,1","33,8"
18,1,en garderie,"31,1","32,3","29,9","29,3","36,4*"
19,1,Caractéristiques,Total,État matrimonial,,Séparation,
19,1,,,Mariés,Union libre,"Non
séparés",Séparés
19,1,Caractéristiques des parents à la naissance,,,,,
19,1,Âge de la mère à la naissance de l’enfant,,,,,
19,1,Jeune — 22 ans et moins,"9,1","2,6","15,1***","6,0","18,2***"
19,1,Dans la moyenne — 22 à 36 ans,"82,2","85,8","78,9**","84,3","76,1**"
19,1,Âgée — plus de 36 ans,"8,7","11,6","6,0***","9,7","5,7*"
19,1,Âge du père à la naissance de l’enfant,,,,,
19,1,Jeune — 25 ans et moins,"10,8","3,6","17,6***","7,9","19,6***"
19,1,Dans la moyenne — 25 à 39 ans,"80,1","86,5","74,2***","83,4","70,5***"
19,1,Âgé — plus de 39 ans,"9,0","9,9","8,2","8,7","10,0"
19,1,Scolarité de la mère (années),"13,2","13,8","12,7***","13,4","12,6***"
19,1,Scolarité du père (années),"13,0","13,7","12,3***","13,2","12,2***"
19,1,Mère immigrante,"13,5","23,0","4,6***","14,7","9,8†"
19,1,Proportion de l’échantillon,100,"48,0","52,0","74,8","25,2"
24,1,,FILLES,,,,,,
24,1,,Lecture,Écriture,Math.,Ensemble,"Lecture et
déchiffrement","Lecture et
compréhension","Connaissance
des nombres"
24,1,,Rapports de cotes,,,,Coefficients,,
24,1,MODÈLE 1 (sans variables de contrôle),,,,,,,
24,1,Modèle sans interaction,,,,,,,
24,1,en union libre [Mariés],"1,07","1,07","0,98","0,87","-0,331","0,678","-0,037"
24,1,séparés [Non séparés],"0,54**","0,61*","0,69","0,60*","-0,658","-0,472","-0,204"
24,1,r2,,,,,"0,004","0,005","0,001"
24,1,Modèle avec interaction,,,,,,,
24,1,"[Mariés, non séparés]",,,,,,,
24,1,"en union libre, non séparés","1,03","1,11","1,11","0,84","0,058","1,176*","0,244"
24,1,"mariés, séparés","0,46*","0,70","1,02","0,53","0,410","0,880","0,583"
24,1,"en union libre, séparés","0,60*","0,64","0,61†","0,54*","-1,250†","-0,137","-0,435"
24,1,r2,,,,,"0,007","0,012","0,005"
24,1,MODÈLE 2 (avec toutes les variables de contrôle),,,,,,,
24,1,Modèle sans interaction,,,,,,,
24,1,en union libre [Mariés],"1,44†","1,51†","1,26","0,98","0,075","0,556","0,377"
24,1,séparés [Non séparés],"0,66†","0,75","0,81","0,73","0,065","0,217","0,465"
24,1,r2,,,,,"0,164","0,223","0,194"
25,1,,FILLES,,,,,,
25,1,,Lecture,Écriture,Math.,Ensemble,"Lecture et
déchiffrement","Lecture et
compréhension","Connaissance
des nombres"
25,1,,Rapports de cotes,,,,Coefficients,,
25,1,Modèle avec interaction,,,,,,,
25,1,"[Mariés, non séparés]",,,,,,,
25,1,"en union libre, non séparés","1,28","1,49†","1,33","0,89","0,227","0,735","0,505"
25,1,"mariés, séparés","0,42*","0,71","0,95","0,51†","0,483","0,708","0,826"
25,1,"en union libre, séparés","1,05","1,14","0,98","0,80","0,034","0,642","0,750"
25,1,r2,,,,,"0,164","0,223","0,195"
25,1,n,618,613,614,623,705,688,697
27,1,,GARÇONS,,,,,,
27,1,,Lecture,Écriture,Math.,Ensemble,"Lecture et
déchiffrement","Lecture et
compréhension","Connaissance
des nombres"
27,1,,Rapports de cotes,,,,Coefficients,,
27,1,MODÈLE 1 (sans variables de contrôle),,,,,,,
27,1,Modèle sans interaction,,,,,,,
27,1,en union libre [Mariés],"0,70†","0,76","0,88","0,88","-0,673","0,593","-0,184"
27,1,séparés [Non séparés],"0,51*","0,68","0,63†","0,48*","-0,916","-0,227","-0,567"
27,1,r2,,,,,"0,010","0,003","0,005"
27,1,"Modèle avec interaction
[Mariés, non séparés]",,,,,,,
27,1,"en union libre, non séparés","0,68","0,81","0,90","0,92","-0,824","0,561","-0,191"
27,1,"mariés, séparés","0,47","0,83","0,67","0,57","-1,447","-0,335","-0,591"
27,1,"en union libre, séparés","0,37**","0,49†","0,55*","0,41*","-1,516*","0,382","-0,747†"
27,1,r2,,,,,"0,010","0,003","0,005"
27,1,MODÈLE 2 (avec toutes les variables de contrôle),,,,,,,
27,1,Modèle sans interaction,,,,,,,
27,1,en union libre [Mariés],"0,70","0,74","0,94","0,90","0,072","0,700","0,033"
27,1,séparés [Non séparés],"0,65","0,83","0,70","0,46*","-0,415","0,564","-0,183"
