page,table_id,col_1,col_2,col_3,col_4
9,1,Région d’origine des élèves,Indice de statut socioéconomique,,
9,1,,fort (%),moyen (%),faible (%)
9,1,1re et 2e générations,"26,8","34,3","39,0"
9,1,Afrique du Nord et Moyen-Orient,"34,1","31,9","34,0"
9,1,Amérique centrale et du Sud,"20,8","34,6","44,6"
9,1,Antilles et Afrique subsaharienne,"15,5","32,4","52,1"
9,1,Asie de l’Est,"33,6","38,4","28,0"
9,1,Asie du Sud,"11,7","21,3","67,0"
9,1,Asie du Sud-Est,"20,4","35,0","44,6"
9,1,Europe de l’Est,"33,3","39,6","27,1"
9,1,3e génération ou plus,"28,7","41,9","29,4"
13,1,Région d’origine des élèves,"Écoles
privées",Écoles publiques,,
13,1,,,"Rangs déciles
1 à 3 (%)","Rangs déciles
4 à 7 (%)","Rangs déciles
8 à 10 (%)"
13,1,1re et 2e générations,"23,5","17,7","23,7","35,1"
13,1,Afrique du Nord et Moyen-Orient,"33,4","20,2","18,2","28,3"
13,1,Amérique centrale et du Sud,"13,8","16,1","25,4","44,8"
13,1,Antilles et Afrique subsaharienne,"20,1","13,4","19,9","46,6"
13,1,Asie de l’Est,"22,3","25,7","24,8","27,2"
13,1,Asie du Sud,"3,1","9,7","25,2","61,9"
13,1,Asie du Sud- Est,"19,9","13,8","25,3","41,0"
13,1,Europe de l’Est,"27,2","15,9","31,8","25,1"
13,1,3e génération ou plus,"17,8","22,4","34,7","25,1"
15,1,Région d’origine des élèves,Retard scolaire supplémentaire accumulé après deux ans,,
15,1,,oui (%),"élève non présent
(%)",non (%)
15,1,1re et 2e générations,"20,3","7,5","72,2"
15,1,Afrique du Nord et Moyen-Orient,"15,8","5,7","78,4"
15,1,Amérique centrale et du sud,"23,4","7,7","68,9"
15,1,Antilles et Afrique subsaharienne,"29,7","8,6","61,7"
15,1,Asie de l’Est,"12,2","4,9","82,9"
15,1,Asie du Sud,"30,6","25,2","44,2"
15,1,Asie du Sud-Est,"15,0","5,7","79,3"
15,1,Europe de l’Est,"12,4","7,6","80,0"
15,1,3e génération ou plus,"18,8","1,3","79,9"
16,1,Région d’origine des élèves,"Au moment prévu
(%)","Un an après
(%)","Deux ans après
(%)"
16,1,1re et 2e générations,"46,5","56,5","61,1"
16,1,Afrique du Nord et Moyen-Orient,"56,9","67,4","71,5"
16,1,Amérique centrale et du sud,"36,3","47,0","52,2"
16,1,Antilles et Afrique subsaharienne,"36,0","48,3","54,4"
16,1,Asie de l’Est,"61,9","71,2","75,3"
16,1,Asie du Sud,"23,5","33,5","39,9"
16,1,Asie du Sud-Est,"56,9","66,5","70,2"
16,1,Europe de l’Est,"55,7","66,3","70,0"
16,1,3e génération ou plus,"57,0","65,5","69,5"
16,2,Statut générationnel des élèves,"Au moment prévu
(%)","Un an après
(%)","Deux ans après
(%)"
16,2,Première génération,"40,0","49,8","54,7"
16,2,Deuxième génération,"55,7","66,1","70,2"
19,1,Région d’origine des élèves,"Diplômés
en 2005
(%)","Diplômés en
2006 ou en 2007
(%)","Taux de
décrochage brut
(%)","Départ avant
15 ans
(%)","Présents à l’éducation
des adultes en 2007-2008
(%)","Taux de
décrochage net
(%)"
19,1,1re et 2e générations,"63,7","3,4","32,9","5,3","5,9","21,7"
19,1,Afrique du Nord et Moyen-Orient,"72,3","2,6","25,1","4,1","3,1","17,9"
19,1,Amérique centrale et du Sud,"55,5","3,8","40,7","5,0","8,0","27,7"
19,1,Antilles et Afrique subsaharienne,"55,2","4,7","40,1","4,8","9,8","25,5"
19,1,Asie de l’Est,"77,8","1,9a","20,3","5,3","3,6","11,4"
19,1,Asie du Sud,"46,1","3,6","50,3","15,2","6,4","28,7"
19,1,Asie du Sud-Est,"69,6","2,1","28,3","3,8","5,3","19,2"
19,1,Europe de l’Est,"71,3","2,4","26,3","6,5","2,4","17,4"
19,1,3e génération ou plus,"69,1","4,5","26,4","0,8","4,8","20,8"
