page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
9,1,,France,"États-
Unis",Maroc,"Royaume-
Uni",Allemagne,Canada,Finlande,"Autres
pays",Total
9,1,Ghana,—,2 898,—,2 237,275,216,285,1 290,7 201
9,1,Sénégal,9 298,659,489,—,188,420,—,24,11 684
12,1,Pays de l’entretien,Non-migrants,Migrants de retour,Migrants actuels,,,,,,
12,1,Sénégal,859,208,—,,,,,,
12,1,Ghana,924,319,—,,,,,,
12,1,France,—,—,200a,,,,,,
12,1,Espagne,—,—,200a,,,,,,
12,1,Italie,—,—,201a,,,,,,
12,1,Royaume-Uni,—,—,149b,,,,,,
12,1,Pays-Bas,—,—,273b,,,,,,
15,1,Caractéristiques,,"Échantillon
sénégalais","Échantillon
ghanéen",,,,,,
15,1,Effectif total (N),,1 668,1 665,,,,,,
15,1,Étudiants du supérieur,N,217,235,,,,,,
15,1,,%,"10,5","10,8",,,,,,
15,1,,Proportion de femmes,"31,0","27,2",,,,,,
15,1,"Étudiants internationaux parmi
ceux du supérieur",N,46,65,,,,,,
15,1,,%,"11,4","12,2",,,,,,
15,1,,Proportion de femmes,"25,8","29,5",,,,,,
15,1,Durée moyenne des études (ans),Étudiants nationaux,"20,7","20,2",,,,,,
15,1,,Étudiants internationaux,"22,3","22,4",,,,,,
15,1,"Obtention d’un diplôme de cycle
supérieur (N)",Étudiants internationaux,39,54,,,,,,
20,1,Classe,Type d’étudiant,"Niveau
de qualification atteint",N (%),Entropie,Transition,Durée (en années),,,
20,1,,,,,,,"Études
étranger","Études
Sénégal","Travail
étranger","Travail
Sénégal"
20,1,1,Étudiants internationaux,Très qualifiés,95 (44),"0,38","1,94","1,14","17,54","0,74","3,21"
20,1,2,Étudiants internationaux,Moyennement qualifiés,57 (26),"0,46","3,14","1,49","11,58","6,32","4,05"
20,1,3,Étudiants nationaux,Moyennement qualifiés,65 (30),"0,16","1,57","0,03","11,84","0,60","11,89"
20,2,Classe,Type d’étudiants,"Niveau de qualification
atteint","Proportion d’étudiants
internationaux","Proportion
de femmes","Individus
ayant 7 frères
et sœurs ou
moins (%)","Individus
ayant un père
très scolarisé
(%)","Individus nés
après 1974
(%)",,
20,2,1,Étudiants internationaux,Très qualifiés,"35,1","28,1","57,9","60,4","63,2",,
20,2,2,Étudiants internationaux,Moyennement qualifiés,"30,5","33,7","48,4","54,9","54,7",,
20,2,3,Étudiants nationaux,Moyennement qualifiés,"1,5","35,4","56,9","52,5","63,1",,
22,1,Classe,Type d’étudiants,"Niveau de qualification
atteint",N (%),Entropie,Transition,Durée (en années),,,
22,1,,,,,,,"Études
étranger","Études
Ghana","Travail
étranger","Travail
Ghana"
22,1,1,Étudiants internationaux,Très qualifiés,69 (29),"0,41","3,01","0,93","17,17","0,54","3,91"
22,1,2,Étudiants internationaux,Moyennement qualifiés,49 (21),"0,40","3,45","1,65","12,26","7,00","2,90"
22,1,3,Étudiants nationaux,Moyennement qualifiés,117 (50),"0,34","2,83","0,14","12,26","1,00","10,26"
22,2,Classe,Type d’étudiants,"Niveau de qualification
atteint","Proportion d’étudiants
internationaux","Proportion
de femmes","Individus
ayant 5 frères
et sœurs ou
moins (%)","Individus
ayant un père
très scolarisé
(%)","Individus nés
après 1970
(%)",,
22,2,1,Étudiants internationaux,Très qualifiés,"40,6","20,3","42,0","73,5","69,6",,
22,2,2,Étudiants internationaux,Moyennement qualifiés,"36,7","32,7","34,7","91,1","63,3",,
22,2,3,Étudiants nationaux,Moyennement qualifiés,"17,9","31,6","41,9","81,4","56,4",,
24,1,Variables,Modalités,"Études
supérieures","Études supérieures
à l’étranger",,,,,,
24,1,Sexe,Homme,ref,ref,,,,,,
24,1,,Femme,"0,548**","0,960",,,,,,
24,1,Lieu de naissance,Dakar,ref,ref,,,,,,
