page,table_id,col_1,col_2,col_3,col_4,col_5
9,1,Statut migratoire,Direction du transfert,,,
9,1,,"Nombre
(en milliers)",,"Distribution
(en pourcentage)",
9,1,,Français,Anglais,Français,Anglais
9,1,"Immigrants ayant effectué un transfert
linguistique avant leur arrivée au Canada",68,37,53,27
9,1,"Immigrants ayant effectué un transfert
linguistique après leur arrivée au Canada",42,41,32,29
9,1,Natifs,19,61,15,44
9,1,Total,129,139,100,100
24,1,Variable,Valeur,Transfert vers le français,,Transfert vers l’anglais,
24,1,,,"Rapport
de cotes",Signification,"Rapport
de cotes",Signification
24,1,Modèle 1,,,,,
24,1,Âge,"0-4 ans
5-9 ans
10-14 ans
15-19 ans
20 ans et plus","0,220
1
0,264
0,070
0,178","0,005
0,430
0,823
0,348","0,101
1
0,200
0,086
0,147","0,000
0,000
0,017
0,000"
24,1,Sexe,"Homme
Femme","1
0,424","0,020","1
1,091","0,624"
24,1,"Origine
géolinguistique","Anglaise
Française
Autre","1,308
3,025
1","0,982
0,621","1,175
0,912
1","0,668
0,618"
24,1,Période historique,"Avant 1975
1975-1989
1990-2006","1
2,567
2,254","0,046
0,131","1
0,962
0,194","0,846
0,000"
24,1,Modèle 2,,,,,
24,1,Âge,"0-4 ans
5-9 ans
10-14 ans
15-19 ans
20 ans et plus","0,200
1
0,278
0,081
0,255","0,002
0,457
0,833
0,464","0,110
1
0,173
0,061
0,079","0,000
0,000
0,006
0,000"
24,1,Sexe,"Homme
Femme","1
0,407","0,018","1
1,054","0,776"
24,1,"Origine
géolinguistique","Anglaise
Française
Autre","1,341
3,027
1","0,980
0,612","1,392
0,862
1","0,326
0,440"
24,1,"Cohorte
de naissance","Avant 1960
1960-1974
1975-1989","1
1,908
2,444","0,330
0,143","1
1,427
0,506","0,082
0,002"
25,1,Variable,Valeur,Transfert vers le français,,Transfert vers l’anglais,
25,1,,,"Rapport
de cotes",Signification,"Rapport
de cotes",Signification
25,1,Modèle 1,,,,,
25,1,"Années de résidence
au Canada","0-4 ans
5-9 ans
10-14 ans
15-19 ans
20 ans et plus","1
0,710
0,238
0,133
0,039","0,144
0,000
0,450
0,025","1
0,572
0,156
0,298
0,167","0,004
0,000
0,000
0,000"
25,1,Sexe,"Homme
Femme","1
0,706","0,087","1
1,116","0,515"
25,1,"Origine
géolinguistique","Anglaise
Française
Autre","0,527
1,600
1","0,731
0,073","1,549
0,578
1","0,175
0,002"
25,1,Période historique,"Avant 1975
1975-1989
1990-2006","1
1,963
1,080","0,016
0,781","1
0,335
0,131","0,000
0,000"
25,1,Modèle 2,,,,,
25,1,"Années de résidence
au Canada","0-4 ans
5-9 ans
10-14 ans
15-19 ans
20 ans et plus","1
0,701
0,236
0,140
0,043","0,133
0,000
0,468
0,027","1
0,529
0,136
0,246
0,108","0,001
0,000
0,000
0,000"
25,1,Sexe,"Homme
Femme","1
0,709","0,088","1
1,175","0,350"
25,1,"Origine
géolinguistique","Anglais
Français
Autre","0,482
1,470
1","0,695
0,151","0,627
0,451
1","0,193
0,000"
25,1,"Âge à
l’arrivée","0-12 ans
13-19 ans
20 ans et plus","3,133
2,265
1","0,000
0,001","9,152
2,499
1","0,000
0,001"
26,1,Variable,Valeur,Transfert vers le français,,Transfert vers l’anglais,
26,1,,,"Rapport
de cotes",Signification,"Rapport
de cotes",Signification
26,1,Modèle 3,,,,,
26,1,"Années de résidence
au Canada","0-4 ans
5-9 ans
10-14 ans
15-19 ans
20 ans et plus","1
0,713
0,243
0,142
0,041","0,148
0,000
0,462
0,026","1
0,499
0,116
0,168
0,040","0,000
0,000
0,000
0,000"
26,1,Sexe,"Homme
Femme","1
0,709","0,092","1
1,086","0,628"
26,1,"Origine
géolinguistique","Anglaise
Française
Autre","0,522
1,688
1","0,731
0,048","1,615
0,558
1","0,139
0,001"
26,1,"Période
À l’arrivée","Avant 1965
1965-1979
1980-2006","1
0,988
1,052","0,968
0,841","1
0,624
0,135","0,016
0,000"
27,1,Variable,Valeur,Français,,Anglais,
27,1,,,"Rapport
de cotes",Signification,"Rapport
de cotes",Signification
27,1,"Années de résidence
au Canada","0-4 ans
5-9 ans
10-14 ans
15-19 ans
20 ans et plus","1
0,701
0,232
0,131
0,040","0,137
0,000
0,448
0,025","1
0,624
0,181
0,352
0,220","0,018
0,000
0,001
0,000"
27,1,Sexe,"Homme
Femme","1
0,714","0,098","1
1,121","0,497"
27,1,"Origine
géolinguistique","Anglaise
Française
Autre","0,472
1,414
1","0,689
0,188","1,025
0,412
1","0,947
0,000"
27,1,"Période
historique","Avant 1975
1975-1989
1990-2006","1
2,133
1,238","0,006
0,436","1
0,386
0,151","0,000
0,000"
27,1,"Âge à
l’arrivée","0-12 ans
13-19 ans
20 ans et plus","3,186
2,281
1","0,000
0,001","8,282
2,172
1","0,000
0,005"
