page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7
6,1,Recensement de 2006,,,,,,
6,1,Âge (ans),2001,2002,2003,2004,2005,2001-2006*
6,1,15 à 19,10,9,9,8,8,9
6,1,20 à 24,53,52,47,47,47,49
6,1,25 à 29,108,107,107,109,113,109
6,1,30 à 34,83,87,90,93,101,91
6,1,35 à 39,28,30,32,33,37,32
6,1,40 à 44,5,5,6,6,6,5
6,1,45 à 49,0,1,1,1,1,1
6,1,ISF,"1,43","1,46","1,46","1,49","1,56","1,48"
6,1,Données de l’état civil (fichiers des naissances),,,,,,
6,1,Âge (ans),2001,2002,2003,2004,2005,2001-2005
6,1,15 à 19,13,12,11,10,10,11
6,1,20 à 24,58,55,53,50,51,53
6,1,25 à 29,109,106,109,106,108,108
6,1,30 à 34,85,87,89,94,96,90
6,1,35 à 39,29,30,33,35,37,33
6,1,40 à 44,4,5,5,5,6,5
6,1,45 à 49,0,0,0,0,0,0
6,1,ISF,"1,50","1,48","1,50","1,50","1,54","1,50"
7,1,Période,"Total
(a)","Née au Canada
(b)","Née à l’étranger
(c)","Différence
(a — b)",,
7,1,1976-1981,"1,68","1,65","2,02","0,03",,
7,1,1981-1986,"1,46","1,42","1,84","0,04",,
7,1,1986-1991,"1,48","1,44","1,96","0,04",,
7,1,1991-1996,"1,63","1,58","2,19","0,05",,
7,1,1996-2001,"1,49","1,43","2,05","0,06",,
7,1,2001-2006,"1,48","1,42","1,92","0,06",,
7,1,2012p,"1,68",¬,¬,¬,,
9,1,"2,5",,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,"1,7 1,8 1,7 1,6 1,6",,,,,,,,,,,,,,,,,,"2,0 1,8",,,,,,,,
9,1,,,,,,,"1,4 1,3",,,,,,,,,,,,,,"1,4",,,,,,
9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,,,,,,,
9,2,,,,,,,
9,2,,,,,,,
9,2,,,,,,,
9,3,,,,,,,
9,3,,,,,,,
9,3,,,,,,,
9,3,,,,,,,
9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,,,,,
10,1,,,,,,,
10,1,,,,,,,
10,1,,,,,,,
16,1,,,,,,,
16,1,,,,,,,
16,1,,,,,,,
16,1,,,,,,,
18,1,,,,,,,
18,1,,,,,,,
18,1,,,,,,,
18,1,,,,,,,
18,1,,,,,,,
18,1,,,,,,,
18,1,,,,,,,
18,1,,,,,,,
18,2,,,,,,,
18,2,,,,,,,
18,2,,,,,,,
18,2,,,,,,,
18,2,,,,,,,
18,2,,,,,,,
18,2,,,,,,,
18,2,,,,,,,
18,3,,,,,,,
18,3,Avant,,,,,,
18,3,,,,,,,
18,3,,,,,,,
18,3,,,,,,,
18,3,,,,,,,
18,3,,,,,,,
18,4,Avant,,,,,,
18,4,,,,,,,
18,4,,,,,,,
18,4,,,,,,,
18,4,,,,,,,
18,4,,,,,,,
18,4,,,,,,,
19,1,,,,,,,
19,1,Avant,,,,,,
19,1,,,,,,,
19,1,,,,,,,
19,1,,,,,,,
19,1,,,,,,,
19,2,Avant,,,,,,
19,2,,,,,,,
19,2,,,,,,,
19,2,,,,,,,
19,2,,,,,,,
19,2,,,,,,,
19,3,,,,,,,
19,3,Avant,Après,,,,,
19,3,,,,,,,
19,3,,,,,,,
19,3,,,,,,,
19,4,,,,,,,
19,4,Avant,,Après,,,,
19,4,,,,,,,
19,4,,,,,,,
19,4,,,,,,,
20,1,,,,,,,
20,1,Avant,Après,,,,,
20,1,,,,,,,
20,1,,,,,,,
20,1,,,,,,,
20,2,,,,,,,
20,2,Avant,Après,,,,,
20,2,,,,,,,
20,2,,,,,,,
20,2,,,,,,,
20,3,,,,,,,
20,3,Avant,,,,,,
20,3,,,,,,,
20,3,,,,,,,
20,3,,,,,,,
20,3,,,,,,,
20,4,,,,,,,
20,4,Avant,,,,,,
20,4,,,,,,,
20,4,,,,,,,
20,4,,,,,,,
20,4,,,,,,,
22,1,,,,,,,,,,,,,
22,1,,,,,,,,,,,,,
22,1,,,,,,,,,,,,,
22,1,,,,,,,,,,,,,
22,1,,,,,,,,,,,,,
22,1,,,,,,,,,,,,,
22,2,,,,,,,,,,,,,
22,2,,,,,,,,,,,,,
22,2,,,,,,,,,,,,,
26,1,"Générations
et âge","Ensemble
du Québec",Femmes admises entre 15 et 40 ans (cohortes 1997-2006),,,,,,,,,,,
26,1,,,"Am.
centrale",Caraïbes,"Am.
du Sud","Europe
Ouest","Europe
Est","Europe
Sud","Afrique
sub.","Afrique
Nord","Asie cent.
et M.-O.","Asie
Est","Asie
Sud- Est","Asie
Sud"
26,1,40 ans,,,,,,,,,,,,,
26,1,1960-1964,"1,6","1,2","0,8","1,3","1,3","1,0","1,1","1,8","1,8","1,7","1,0","0,5","1,9"
26,1,1965-1969,"1,7","1,2","0,9","1,4","1,1","0,9","1,1","1,6","1,6","1,7","1,0","0,7","1,8"
26,1,1970-1974,"1,7",—,—,—,—,—,—,—,—,—,—,—,—
26,1,1975-1979,"1,7",—,—,—,—,—,—,—,—,—,—,—,—
26,1,35 ans,,,,,,,,,,,,,
26,1,1960-1964,"1,5","0,9","0,6","1,0","1,1","1,0","0,9","1,4","1,4","1,4","0,8","0,3","1,5"
26,1,1965-1969,"1,5","1,1","0,7","1,1","1,0","0,7","1,0","1,3","1,3","1,4","0,8","0,5","1,4"
26,1,1970-1974,"1,5","0,9","0,7","1,0","0,8","0,7","0,8","1,3","1,2","1,3","0,7","0,7","1,3"
26,1,30 ans,,,,,,,,,,,,,
26,1,1965-1969,"1,1","0,7","0,4","0,6","0,6","0,5","0,6","0,8","0,8","0,9","0,5","0,2","0,9"
26,1,1970-1974,"1,0","0,7","0,6","0,7","0,5","0,5","0,6","0,9","0,9","1,0","0,5","0,4","1,0"
26,1,1975-1979,"0,9","0,6","0,6","0,6","0,4","0,4","0,7","0,8","0,8","0,9","0,3","0,6","1,0"
31,1,"Caractéristiques
au moment
de l’admission","États-
Unis","Amérique
centrale",Caraïbes,"Amérique
du Sud","Europe de
l’Ouest","Europe
de l’Est","Europe
du Sud","Afrique
sub -
saharienne","Afrique
du Nord","Asie
centrale
et Moyen-
Orient","Asie
de
l’Est","Asie
du
Sud-Est","Asie du
Sud","Océanie
et autres",Total
31,1,Nombre d’enfants,,,,,,,,,,,,,,,
31,1,"0
1
2
3 et plus","90,3
6,15
3,0
0,6","78,0
11,1
7,7
3,3","84,6
10,6
3,6
1,2","69,0
14,6
11,3
5,2","78,1
10,2
8,2
3,6","79,9
15,0
4,2
0,9","81,2
9,2
7,3
2,2","77,7
9,7
5,9
6,7","69,8
14,8
11,0
4,5","70,9
11,0
11,2
6,9","69,4
27,5
2,6
0,5","95,6
2,9
1,1
0,4","79,3
8,8
6,9
4,9","89,9
5,7
4,4
0,0","75,8
12,8
7,6
3,8"
31,1,Âge de la femme (ans),,,,,,,,,,,,,,,
