page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
18,1,,Francophones du Québec,,,,Anglophones de l’Ontario,,,
18,1,,1986,1996,2006,2011,1986,1996,2006,2011
18,1,Forme de l’union conjugale,,,,,,,,
18,1,Mariage,"0,777","0,601","0,412","0,339","0,888","0,854","0,795","0,771"
18,1,Union de fait,"0,223","0,399","0,588","0,662","0,112","0,146","0,205","0,229"
18,1,Âge de la femme,,,,,,,,
18,1,Entre 20 et 24 ans,"0,139","0,071","0,073","0,072","0,136","0,056","0,050","0,050"
18,1,Entre 25 et 29 ans,"0,237","0,142","0,155","0,157","0,240","0,152","0,134","0,142"
18,1,Entre 30 et 34 ans,"0,208","0,202","0,158","0,195","0,217","0,222","0,181","0,185"
18,1,Entre 35 et 39 ans,"0,180","0,222","0,168","0,175","0,180","0,225","0,195","0,195"
18,1,Entre 40 et 44 ans,"0,143","0,201","0,217","0,177","0,129","0,194","0,224","0,202"
18,1,Entre 45 et 49 ans,"0,093","0,162","0,228","0,225","0,097","0,151","0,217","0,228"
18,1,Part des gains de la femme dans les gains du couple,,,,,,,,
18,1,Moins de 20 %,"0,286","0,228","0,186","0,170","0,305","0,238","0,218","0,196"
18,1,De 20 % à 39 %,"0,318","0,321","0,339","0,320","0,335","0,310","0,312","0,286"
18,1,De 40 % à 59 %,"0,271","0,306","0,333","0,343","0,266","0,316","0,320","0,324"
18,1,De 60 % à 79 %,"0,059","0,076","0,091","0,101","0,051","0,074","0,091","0,108"
18,1,Au moins 80 %,"0,066","0,070","0,051","0,066","0,042","0,063","0,059","0,086"
18,1,Niveau de scolarité de la femme,,,,,,,,
18,1,Moins que le secondaire,"0,266","0,171","0,096","0,069","0,307","0,153","0,072","0,046"
18,1,Secondaire,"0,423","0,413","0,374","0,334","0,357","0,371","0,315","0,256"
18,1,Postsecondaire non universitaire,"0,180","0,218","0,245","0,261","0,203","0,275","0,327","0,341"
18,1,Université,"0,132","0,199","0,285","0,336","0,133","0,201","0,285","0,357"
18,1,Niveau de scolarité de l’homme,,,,,,,,
18,1,Moins que le secondaire,"0,297","0,224","0,144","0,120","0,326","0,199","0,110","0,084"
18,1,Secondaire,"0,402","0,412","0,442","0,443","0,376","0,412","0,400","0,372"
18,1,Postsecondaire non universitaire,"0,132","0,164","0,186","0,198","0,134","0,189","0,254","0,276"
18,1,Université,"0,169","0,200","0,229","0,239","0,164","0,201","0,236","0,268"
19,1,,Francophones du Québec,,,,Anglophones de l’Ontario,,,
19,1,,1986,1996,2006,2011,1986,1996,2006,2011
19,1,Différence d’âge entre la femme et l’homme,,,,,,,,
19,1,Au moins 3 ans de plus,"0,058","0,077","0,080","0,073","0,053","0,073","0,078","0,070"
