page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34
18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,,,,1984,,,,1989,,,,1994,,,,1999,,,,2004,,,,,2009,,,,,2014,,,,
18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,,1979,1984,1989,1994,1999,2004,2009,2014,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,"Collectivisation intégrale : conjoints
ne se gardent aucuns revenus
(u = u = 0 %)
H f",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,"Conjoints se gardent 50 % de leurs
revenus (u = u = 50 %)
H f","0,0286","0,0236","0,0229","0,0256","0,0211","0,0217","0,0198","0,0178",,,,,,,,,,,,,,,,,,,,,,,,,
19,1,"Conjoint se garde 50 % et conjointe
0 % (u = 50 %, u = 0 %)a
H f","0,0420","0,0373","0,0377","0,0378","0,0339","0,0331","0,0316","0,0304",,,,,,,,,,,,,,,,,,,,,,,,,
19,1,"Conjoint se garde 0 % et conjointe
50 % (u = 0 %, u = 50 %)b
H f","0,0101","0,0119","0,0112","0,0124","0,0138","0,0148","0,0154","0,0155",,,,,,,,,,,,,,,,,,,,,,,,,
19,1,"Individualisation à parts égales
(u = u ; u ≠ 0, u ≠ 0)c
H f H f","0,0102","0,0084","0,0082","0,0091","0,0075","0,0077","0,0071","0,0064",,,,,,,,,,,,,,,,,,,,,,,,,
19,1,"Individualisation favorable au
conjoint (u > u )d
H f","0,0180","0,0154","0,0154","0,0159","0,0137","0,0135","0,0126","0,0118",,,,,,,,,,,,,,,,,,,,,,,,,
19,1,"Individualisation favorable à la
conjointe (u > u )e
f H","0,0056","0,0055","0,0051","0,0061","0,0059","0,0064","0,0063","0,0060",,,,,,,,,,,,,,,,,,,,,,,,,
19,1,Nombre estimé de couples (× 1000),336,364,454,437,437,545,554,557,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,,1979,1984,1989,1994,1999,2004,2009,2014,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,Volet 1 : tous les couples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
