page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22
7,1,,,,,,,,,,,,"5,3",,,,,,,,,,
7,1,,,,,,,,,,,,,,,,,,,,,,
7,1,"0,8
5,6",,,,,"7,0","3,6",,,,,,,,,,,,,,,
7,1,,,,,,,,,1,"2,2",,,"10,9
13,9",,,,,,,,,"9,0"
7,1,,,,,,,,,,,,,,,,,,,,,,
7,1,,,,,,,,,,,,"73,1",,,1,"3,9",,,1,"7,0",,
7,1,,,,,,,,,,,,,,,,,,,,,,
7,1,5,"7,9",6,"3,3",6,"3,0",6,"2,8",5,"3,2",,,,,,,4,"4,5",,,5,"1,7"
7,1,,,,,,,,,,,,,3,"5,9",3,"1,2",,,3,"1,9",,
7,1,,,,,,,,,,,,,,,,,,,,,,
8,1,,,,,,,,,,,,,,,,,,,,,,
8,1,,,,,,,,,,,,,,,,,,,,,,
8,1,,,,,,,,,,,,,,,,,,,,,,
8,1,,,,,,,,,,,,,,,,,,,,,,
8,1,,,,,,,,,,,,,,,,,,,,,,
8,1,,,,,,,,,,,,,,,,,,,,,,
8,1,,,,,,"14,5",,"15,8",,,,"14,7",,,,,,,,,,
8,1,,"9,6",,,,,,,,"12,9",,,,,,,,,,,,"9,9"
8,1,,,,,,,,,,,,,,,,,,,,,,
8,1,,,,"6,5",,,,,,,,,,"6,1",,,,"7,7",,"5,4",,
8,1,,,,,,,,,,,,,,,,"5,3",,,,,,
28,1,,Total,force de poigne,,Expulsion d’air,,Test de la chaise,,Santé mentale,,,,,,,,,,,,,
28,1,Angleterre,5 682,4 832,"(85,0)",4 601,"(81,0)",4 313,"(75,9)",—,—,,,,,,,,,,,,
28,1,États-Unis*,4 532,4 021,"(88,7)",4 028,"(88,9)",—,—,—,—,,,,,,,,,,,,
28,1,Europe-IVA élevé,5 077,4 896,"(96,4)",—,—,4 525,"(89,1)",4 992,"(98,3)",,,,,,,,,,,,
28,1,Europe-IVA modéré,5 025,4 684,"(93,2)",—,—,3 789,"(75,4)",4 965,"(98,8)",,,,,,,,,,,,
29,1,,Total,force de poigne,,Expulsion d’air,,Test de la chaise,,Santé mentale,,,,,,,,,,,,,
29,1,Angleterre,6 275,4 710,"(75,1)",4 248,"(67,7)",4 153,"(66,2)",—,—,,,,,,,,,,,,
29,1,États-Unis**,4 896,4 496,"(91,8)",4 567,"(93,3)",—,—,—,—,,,,,,,,,,,,
29,1,Europe-IVA élevé,7 823,7 601,"(97,2)",—,—,7 204,"(92,1)",7740,"(98,9)",,,,,,,,,,,,
29,1,Europe-IVA modéré,9 621,8 954,"(93,1)",—,—,8 022,"(83,4)",9 430,"(98,0)",,,,,,,,,,,,
30,1,Mesures,,Effectifs,,,,,,,,,,,,,,,,,,,
30,1,"Échelle de santé
mentale",Écarts-types,"E-IVA élevé
2004-2007","E-IVA élevé
2012-2013","E-IVA modéré
2004-2007","E-IVA modéré
2012-2013",,,,,,,,,,,,,,,,
30,1,0,"[0,5 ; 3[",1 474,2 278,1 136,2 345,,,,,,,,,,,,,,,,
30,1,1,"[0 ; 0,5[",1 265,1 944,1 105,2 027,,,,,,,,,,,,,,,,
30,1,2,"[-0,5 ; 0[",881,1 347,823,1 433,,,,,,,,,,,,,,,,
30,1,3,"[-1 ; -0,5[",612,858,585,1 094,,,,,,,,,,,,,,,,
30,1,4,"[-1,5 ; -1[",328,603,418,776,,,,,,,,,,,,,,,,
30,1,5,"[-2 ; -1,5[",215,302,308,643,,,,,,,,,,,,,,,,
30,1,6-11,[-3 ; -2[,223,408,590,1 112,,,,,,,,,,,,,,,,
