page,table_id,col_1,col_2,col_3
7,1,,Hommes,Femmes
7,1,"Personnes occupées
au travail
absent du travail pour raisons personnelles ou familialesa
absent du travail pour autres raisons","92,5
88,3
2,0
2,2","94,4
87,3
4,7
2,3"
7,1,"Chômeurs
mise à pied temporaire
emploi futur
chercheur d’emploi non disponible pour raisons personnelles ou familialesa
autres chercheurs d’emploi","7,5
0,6
0,1
0,1
6,7","5,6
0,2
0,1
0,2
5,1"
7,1,"Inactifs qui veulent travailler
pas prêts ou pas en recherche parce que vont à l’école
pas en recherche pour raisons personnelles ou familialesa
autres","2,3
0,6
0,7
1,0","2,8
0,7
1,1
1,1"
10,1,,%,,% cumulatif,
10,1,,hommes,Femmes,hommes,Femmes
10,1,chômage officiel,"7,5","5,6","7,5","5,6"
10,1,chômage partiel 1 (définition 3),"1,4","2,2","8,9","7,9"
10,1,chômage partiel 2 (définition 2),"1,8","4,4","10,7","12,3"
10,1,chômage partiel 3 (définition 1),"0,6","1,4","11,3","13,7"
12,1,,EPA,,EDTR,
12,1,20-64 ans,Hommes,Femmes,Hommes,Femmes
12,1,pas de chômage,"88,7","86,3","90,1","87,3"
12,1,chômage partiel b (volontaire),"0,6","1,4","1,3","2,8"
12,1,chômage partiel a (involontaire),"3,2","6,6","2,0","3,8"
12,1,chômage,"7,5","5,6","6,7","6,2"
12,1,30-39 ans,,,,
12,1,pas de chômage,"89,5","86,6","91,3","88,3"
12,1,chômage partiel b (volontaire),"0,5","1,4","1,1","2,5"
12,1,chômage partiel a (involontaire),"3,0","6,1","1,7","3,2"
12,1,chômage,"7,0","5,9","5,9","6,1"
14,1,,20-64 ans en décembre 2010,,30-39 ans en décembre 2010,
14,1,Juillet- décembre 2010,Hommes,Femmes,Hommes,Femmes
14,1,pas de passage par le chômage,"76,9","69,6",81,"75,2"
14,1,passage par le chômage,"14,4","15,2","12,8","13,8"
14,1,passage par le chômage partiel (involontaire),"6,9","11,9","5,3","8,2"
14,1,passage par le chômage partiel (volontaire),"1,7","3,2","1,0","2,8"
15,1,,15-59 ans en décembre 2005,,30-39 ans en décembre 2005,
15,1,2005-2010,Hommes,Femmes,Hommes,Femmes
15,1,pas de passage par le chômage,"58,2","51,6","68,2","51,8"
15,1,passage par le chômage,"37,3","39,4","29,6","39,1"
15,1,passage par le chômage partiel (involontaire),"2,8","5,7","0,9","5,1"
15,1,passage par le chômage partiel (volontaire),"1,7","3,4","1,4","4,1"
