page,table_id,col_1,col_2,col_3,col_4,col_5,col_6
8,1,,2001,2006,2011,2016,2001-2016
8,1,Recensements et ENM,,,,,
8,1,non- immigrants,23 992,24 779,25 720,26 413,+ 10 %
8,1,Immigrants,5 647,6 452,7 132,8 047,+ 43 %
8,1,résidents permanents,5 448,6 187,6 776,7 541,+ 38 %
8,1,résidents temporaires,199,265,356,507,+ 155 %
8,1,total,29 639,28 528,32 852,34 460,+ 16 %
8,1,% des résidents temporaires parmi la population totale,"0,7","0,8","1,1","1,5",+ 119 %
8,1,% des résidents temporaires parmi la population immigrante,"3,5","4,1","5,0","6,3",+ 79 %
8,1,Faits et chiffres (IRCC),,,,,
8,1,résidents temporaires,430,419,811,1 087,+ 153 %
8,1,travailleurs temporairesa,180,156,458,545,+ 202 %
8,1,demandeurs d’asileb,45,23,25,24,– 46 %
8,1,étudiants internationauxb,205,240,327,519,+ 153 %
12,1,,Immigrants,,"Travailleurs
temporaires†",Total,
12,1,,"Établis
(≥ 5 ans)","Récents
(< 5 ans)",,,
12,1,Secteur d’activitéb,,,,,
12,1,primaire,"2,4*","2,1*","3,9","2,5",
12,1,secondaire,"14,9*","16,9*","13,5","15,0",
12,1,services à la production,"34,1*","32,0*","29,4","33,4",
12,1,services à la consommation,"23,6*","33,4*","38,9","26,1",
12,1,services gouvernementaux,"25,0*","15,6*","14,4","23,0",
12,1,Professionb,,,,,
12,1,0 – gestion,"10,3*","7,6*","9,2","10,0",
12,1,a – personnel professionnel,"28,0*","20,8*","22,2","26,7",
12,1,B – niveau de compétence B de la cnp,"27,4","25,4*","27,7","27,2",
12,1,c – niveau de compétence c de la cnp,"25,4*","28,8*","27,9","26,0",
12,1,d – niveau de compétence d de la cnp,"8,9*","17,4*","13,0","10,1",
12,1,Surqualificationb,,,,,
12,1,sous- qualifié,"11,5*","7,0*","12,6","11,2",
12,1,adéquatement qualifié,"47,5*","37,2*","42,5","46,0",
12,1,surqualifié,"41,0*","55,8*","44,9","42,8",
13,1,Nombre d’heures travailléesb,,,,,
13,1,médiane (en heures),"40,0 h.","40,0 h.","40,0 h.","40,0 h.",
13,1,moins de 15 heures,"8,1*","9,4*","7,2","8,1",
13,1,15 à 29 heures,"7,5*","8,1*","6,4","7,5",
13,1,30 à 39 heures,"23,0*","20,2*","17,9","22,3",
13,1,40 heures et plus,"61,5*","62,4*","68,4","62,2",
13,1,Nombre de semaines travaillées en 2015c,,,,,
13,1,médiane (en semaines),"51,0 sem. *","48,0 sem.","48,0 sem.","50,0 sem.",
13,1,n’a pas travaillé,"1,8*","3,4*","4,5","2,2",
13,1,1 à 26 semaines,"8,6*","15,4*","14,5","9,7",
13,1,27 à 39 semaines,"5,4*","9,8*","9,3","6,1",
13,1,40 à 48 semaines,"21,5*","24,7*","23,0","21,9",
13,1,49 à 52 semaines,"62,7*","46,7*","48,7","60,1",
13,1,Horaire habituel de travail en 2015c,,,,,
13,1,n’a pas travaillé,"1,8*","3,4*","4,5","2,2",
13,1,temps partiel,"11,6*","13,6*","10,3","11,7",
13,1,temps plein,"86,6*","82,9*","85,2","86,2",
13,1,Revenu d’emploi hebdomadaire (en 2015)c,,,,,
13,1,revenu médian (en $),1 000*,735*,679,944,
13,1,Nb,303 045,35 040,38 965,377 050,
13,1,Nc,301 070,29 950,32 990,363 650,
16,1,,Modèle 1,Modèle 2,Modèle 3,,
16,1,Statut de résidence (immigrant récent),,,,,
16,1,temporaire récent,"-0,017***","-0,023***","-0,026***",,
16,1,temporaire d’expérience,"-0,033***","-0,023***","-0,016***",,
16,1,Pays de naissance (Europe),,,,,
16,1,états- unis,,"0,071***","0,048***",,
16,1,amérique latine,,"-0,082***","-0,063***",,
16,1,asie,,"-0,233***","-0,150***",,
16,1,autres pays,,"-0,109***","-0,083***",,
16,1,Lieu de résidence (Calgary [Alberta]),,,,,
16,1,montréal (Québec),,"-0,100***","-0,117***",,
16,1,ottawa – gatineau (ontario/Québec),,"-0,025***","-0,036***",,
16,1,toronto (ontario),,"-0,073***","-0,119***",,
16,1,edmonton (alberta),,"-0,004","0,004",,
16,1,vancouver (colombie- Britannique),,"-0,046***","-0,064***",,
16,1,autres régions métropolitaines,,"-0,109***","-0,098***",,
16,1,Sexe (homme),,,,,
16,1,Femme,,"-0,242***","-0,146***",,
16,1,Âge (25 à 34 ans),,,,,
16,1,15 à 24 ans,,"-0,098***","-0,056***",,
16,1,35 à 44 ans,,"0,056***","0,080***",,
16,1,45 à 64 ans,,"0,025***","0,066***",,
16,1,65 ans et plus,,"-0,007","0,004",,
16,1,Statut matrimonial (en couple),,,,,
16,1,célibataire,,"-0,041***","-0,028***",,
