page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18
11,1,Données ego,Dimensions / niveaux d’observation,,Trajectoires / variables,"Données biographiques (faits, situations et événements)",,,,,,,,,,,,,
11,1,"Nom
Âge
Sexe
Date entretien
Lieu entretien
No entretien",Contexte,Macro / national,sociale,,,,,,,,,,,,,,
11,1,,,,économique,,,,,,,,,,,,,,
11,1,,,Local / communautaire,environnementale,,,,,,,,,,,,,,
11,1,,,,politique,,,,,,,,,,,,,,
11,1,,Famille,Membres non corésidents,parenté élargie,,,,,,,,,,,,,,
11,1,,,,parents et grands-parents,,,,,,,,,,,,,,
11,1,,,,belle famille,,,,,,,,,,,,,,
11,1,,,,Fratrie,,,,,,,,,,,,,,
11,1,,,Membres corésidents,conjoint,,,,,,,,,,,,,,
11,1,,,,parents et grands-parents,,,,,,,,,,,,,,
11,1,,,,Fratrie,,,,,,,,,,,,,,
11,1,,,,économie domestique,,,,,,,,,,,,,,
11,1,,,,climat familial,,,,,,,,,,,,,,
11,1,,,,résidence,,,,,,,,,,,,,,
11,1,,,,autres,,,,,,,,,,,,,,
11,1,,Individu (ego),,"école, université",,,,,,,,,,,,,,
11,1,,,,travail,,,,,,,,,,,,,,
11,1,,,,"pairs, vie sociale",,,,,,,,,,,,,,
11,1,,,,"sexualité, fécondité",,,,,,,,,,,,,,
11,1,,,,résidence,,,,,,,,,,,,,,
11,1,,,,autres,,,,,,,,,,,,,,
11,1,,Année,,,,,,,,,,,,,,,,
11,1,,Âge,,,0,1,2,3,4,5,6,7,8,9,10,11,12,n
11,1,,Séquences,,,,,,,,,,,,,,,,
11,1,observations et données non datées :,,,,,,,,,,,,,,,,,
