page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
5,1,,,,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,
6,1,"Taux de croissance de la
population âgée de 65 ans
et plus entre 1986 et 2016",< 0 %,0 %,"de 0,1 à
99,9 %","de 100 à
199,9 %","de 200 à
299,9 %","de 300 à
399,9 %","> ou =
400 %","Ensemble
des petites
localités","Ensemble
des localités
du Québec",,,,,,,
6,1,nombre de localités,8,10,85,68,14,9,8,202,,,,,,,,
6,1,Variation des effectifs de population,,,,,,,,,,,,,,,,
6,1,"Effectif moyen des localités
(2016)",351,216,319,350,271,291,271,314,7 937,,,,,,,
6,1,"Croissance de l’effectif de
la population, 1986-2016",- 1 096,- 1 068,- 8 856,- 2 990,87,380,499,- 12 692,1 631 900,,,,,,,
6,1,"Croissance, en %, de la
population, 1986-2016","-30,9","-35,4","-24,4","-12,3","2,0","16,9","29,9","-16,4","25,0",,,,,,,
6,1,"nombre de localités en
décroissance démographique
continuent depuis 1986",1,3,14,8,0,2,0,28,98,,,,,,,
6,1,"Croissance de l’effectif des
0-24 ans, 1986-2016",- 600,- 805,- 8 365,- 5 245,- 1 065,- 395,- 215,-16 690,403 110,,,,,,,
6,1,"Croissance, en %, de l’effectif
des 0-24 ans, 1986-2016","- 52,2","- 62,2","- 56,3","- 51,1","- 56,1","- 41,6","- 29,1","-52,9","21,7",,,,,,,
6,1,"Croissance de l’effectif des
65 ans et plus, 1986-2016",- 195,0,1 955,2 835,785,500,430,6 310,1 013 620,,,,,,,
6,1,Variables socio- économiques,,,,,,,,,,,,,,,,
6,1,"Taux de migration pendu-
laire (2016)","68,9","74,2","83,8","82,2","89,2","80,7","87,1","80,9","47,8",,,,,,,
6,1,Taux d’activité (2016),"48,7","54,1","58,3","55,8","54,6","52,6","62,4","55,2","64,1",,,,,,,
6,1,Taux de chômage (2016),"9,5","16,3","9,9","12,4","9,0","11,0","8,5","10,9","7,2",,,,,,,
6,1,"% des travailleurs affectés
au secteur primaire (2016)","19,1","10,8","19,2","15,9","10,8","10,7","15,1","14,5","2,5",,,,,,,
6,1,"% des travailleurs affectés
au secteur secondaire
(2016)","24,4","19,7","22,0","20,3","30,5","21,2","21,7","22,8","17,1",,,,,,,
6,1,"% des travailleurs affectés
au secteur tertiaire (2016)","56,5","69,5","58,8","63,8","58,7","68,1","63,2","62,7","80,4",,,,,,,
6,1,Variables liées au revenu,,,,,,,,,,,,,,,,
6,1,"revenu moyen des familles
en $ (2016)",57 924,"60
245",62 933,65 260,64 651,62 485,69 611,63 301,79 378,,,,,,,
6,1,"% du revenu provenant
d’un emploi (2016)","57,3","56,0","60,2","60,2","57,5","56,0","58,1","57,9","68,4",,,,,,,
6,1,"% du revenu provenant de
transferts gouvernementaux
(2016)","30,1","31,8","26,2","24,9","25,9","26,8","20,0","26,5","15,6",,,,,,,
6,1,Variable géographique,,,,,,,,,,,,,,,,
6,1,"distance par rapport à la
ville la plus près (km)","31,7","34,7","30,5","32,6","29,0","21,6","23,2","29,0",–,,,,,,,
8,1,"Taux de croissance de la
proportion de personnes
âgées de 65 ans et plus
entre 1986 et 2016",> 25 %,"20,1 à
25 %","15,1 à
20 %","10,1 à
15 %","5,1 à
10 %","0,1 à
5 %",< 0,"Ensemble
des petites
localités","Ensemble
des localités
du Québec",,,,,,,
8,1,nombre de localités,12,22,34,58,54,20,2,202,,,,,,,,
8,1,Variation des effectifs de population,,,,,,,,,,,,,,,,
8,1,"Effectif moyen des localités
(2016)",216,246,312,336,337,317,306,314,7 937,,,,,,,
8,1,"Croissance de l’effectif de la
population, 1986-2016",- 1 204,- 1 375,- 3 566,- 4 402,- 2 215,- 247,317,-12 692,1 631 900,,,,,,,
8,1,"Croissance, en %, de la
population, 1986-2016","- 31,8","- 21,0","- 25,2","- 18,2","- 10,8","- 3,7","107,5","-16,4","25,0",,,,,,,
