page,table_id,col_1,col_2,col_3,col_4
4,1,,Probabilités,Commentaires,Références
4,1,En population générale,,,
4,1,"Jumeaux
dizygotes",1/80,"Variable selon, entre autres,
l’âge de la mère, le rang d’ac-
couchement, la zone géogra-
phique.","(Guttmacher, 1953) ; (hall, 2003)"
4,1,"Jumeaux
mono-
zygotes",1/250,"Constant chez les humains et
les mammifères.","(pison, 2000) ; (Duchesne et Institut de
la statistique du Québec, 2001)"
4,1,Triplés,1/8 000,"Taux en baisse dans certains
pays industrialisés tels que les
é.-U., l’Angleterre & le pays de
Galles, l’Espagne et l’Allemagne.","(Guttmacher, 1953) ;
(Blickstein et collab., 2005) ; (martin et
collab., 2009) ; (Cook et collab., 2011)"
4,1,"Jumeaux
fusionnés","Entre 1/200 000 et
1/20 000","Taux en croissance au niveau
mondial.","(mutchinick et collab., 2011)"
4,1,En situation exclusive d’AMP*,,,
4,1,Jumeaux,Entre 1/3 et 1/2,"Variables selon l’âge de la mère
et le type de Amp* utilisé.","(Reynolds et collab., 2003) ; (Reddy et
collab., 2007) ; (Wright et collab., 2008)"
4,1,"Triplés
et plus",Entre 1/100 et 5/100,,"(Reynolds et collab., 2003) ; (Wright et
collab., 2008) ; (Lazarov et collab., 2016)"
6,1,"N°a
d’enregistrement","Idb
du pays","Id de
l’observatoire","Id
de l’individu",Sexe,"Date de
naissance","Compteur
d’évènement"
6,1,,,,,,,
6,2,"N°
d’évènement","Code
d’évènement","Date
d’évènement","Date
de recueil de l’évènement","Id de
localisation","Id de
la mère","Id
d’accouchement"
6,2,,,,,,,
7,1,Pays,Observatoire,Période,"Effectifs totaux
d’accouchements","Effectifs d’accouchements
de jumeaux"
7,1,Afrique du Sud,Africa hRIa,2000-2015,25 264,445
7,1,,Agincourt,1993-2015,42 894,615
7,1,,Dikgale,1996-2014,5 349,73
7,1,Burkina Faso,Nanoro,2009-2014,11 192,256
7,1,,Nouna,1998-2015,43 327,698
7,1,,ouagadougou,2009-2014,14 369,299
7,1,Côte d’Ivoire,Taabo,2009-2014,8 310,151
7,1,éthiopie,Arba minch,2010-2014,8 999,106
7,1,,Dabat,2009-2013,5 898,54
7,1,,Gilgel Gibe,2006-2014,15 542,192
7,1,,Kersa,2008-2014,13 108,177
7,1,,Kilite Awlaelo,2010-2014,7 290,86
7,1,Gambie,Farafenni,1989-2014,27 919,437
7,1,Ghana,Kintampo,2006-2014,35 075,712
7,1,,Navrongo,1993-2014,43 162,749
7,1,Guinée- Bissau,Bandimb,1974-2013,90 368,1 545
7,1,Kenya,Kilifi,2002-2013,74 435,1 350
7,1,,Nairobi,2002-2014,23 170,347
7,1,malawi,Karonga,2003-2015,16 363,308
7,1,mozambique,Chokwe,2010-2014,12 001,227
7,1,Sénégal,Bandafassi,1970-2014,15 950,237
7,1,,mlomp,1985-2015,5 330,102
7,1,,Niakhar,1984-2014,40 481,582
8,1,Observatoire,Période,Effectifs des accouchements,
8,1,Nanoro (Burkina Faso),03/2009 à 12/2012,7 450,
8,1,ouagadougou (Burkina Faso),01/2009 à 12/2016,18 438,
8,1,Bandim (Guinée- Bissau),12/1973 à 04/2013,90 368,
8,1,Bandafassi (Sénégal),02/1970 à 04/2017,19 417,
8,1,mlomp (Sénégal),03/1984 à 06/2017,6 086,
8,1,Niakhar (Sénégal),02/1983 à 12/2017,46 810,
