page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
11,1,Variables,Modalités,"Migration du
Sénégal vers France/
Italie/Espagne",,"Migration du
Ghana vers
Royaume-Uni/
Pays-Bas",,"Migration
du RD Congo
vers Belgique/
Royaume-Uni",
11,1,,,Non,oui,Non,oui,Non,oui
11,1,Variables sur les déplacements temporaires,,,,,,,
11,1,Séjour court (%),Non,"95,9","92,5","96,6","87,5","98,4","80,6"
11,1,,oui,"4,1","7,5","3,4","12,5","1,6","19,4"
11,1,période,Avant 1990,"9,0","7,8","6,1","11,1","4,1","8,0"
11,1,,1990-2000,"16,9","25,5","9,5","11,1","7,4","32,2"
11,1,,2001 et plus,"74,1","66,7","84,4","77,8","88,5","59,8"
11,1,Capital social ou réseaux sociaux,,,,,,,
11,1,"partenaire dans le pays
d’accueil (%)",Non,"88,9","66,7",96,54,99,"58,5"
11,1,,oui,"11,1","33,3",4,46,1,"41,5"
11,1,"Liens familiaux forts
(parents et fratrie dans le
pays d’accueil) (%)",Non,"71,7","60,5","88,5","61,4",93,"66,1"
11,1,,oui,"28,3","39,5","11,5","38,6",7,"33,9"
11,1,"Liens familiaux moyens
(autres parents dans le
pays d’accueil) (%)",Non,"78,4","79,2","96,7","80,6","91,3","74,3"
11,1,,oui,"21,6","20,8","3,3","19,4","8,7","25,7"
11,1,"Liens faibles (connais-
sances / amis dans le
pays d’accueil (%)",Non,"86,7","78,6","97,9","87,6","96,5","85,1"
11,1,,oui,"13,3","21,4","2,1","12,5","3,5","14,9"
11,1,Nombre moyen de contacts à destination,,"1,2","1,7","0,3","1,7","0,3","2,1"
12,1,Variables,Modalités,"Migration
du Sénégal vers
France/Italie/
Espagne",,"Migration
du Ghana vers
Royaume-Uni/
Pays-Bas",,"Migration
du RD Congo
vers Belgique/
Royaume-Uni",
12,1,,,Non,oui,Non,oui,Non,oui
12,1,Capital humain et économique,,,,,,,
12,1,Niveau d’éducation (%),"Inférieur ou égal
au secondaire","90,9","81,1","79,3","41,7","75,9","36,4"
12,1,,Supérieur,"9,1","18,9","20,7","58,3","24,1","63,6"
12,1,"Situation économique
auto-déclarée (%)",Insuffisant,"36,4","33,6","18,5",22,"42,2",19
12,1,,Suffisant,"63,7","66,4","81,5","78,0,","57,9",81
12,1,"Situation
dans l’emploi (%)",étudiant,"3,2","15,7","3,2","15,6","5,3","22,8"
12,1,,occupé,"62,2","60,2","79,6","74,7","70,7","54,4"
12,1,,Chômeur,"4,7","8,2","7,2","6,8","11,4","10,2"
12,1,,Autres,"29,9","15,9",10,3,"12,6","12,6"
12,1,Possession des biens,,,,,,,
12,1,Terrain (%),Non,"88,8","94,7","82,9","89,2","86,1","86,2"
12,1,,oui,"11,2","5,3","17,2","10,8","13,9","13,8"
12,1,maison (%),Non,"89,1","91,9","89,4","92,2","84,4","85,8"
12,1,,oui,"10,9","8,1","10,6","7,8","15,6","14,2"
12,1,Affaires (%),Non,"91,3","96,6",71,"94,1","72,2","92,3"
12,1,,oui,"8,7","3,4",29,"5,9","27,8","7,7"
12,1,Variables sociodémographiques,,,,,,,
12,1,Sexe (%),masculin,"41,8","57,1","38,6","54,2","41,4","54,2"
12,1,,Féminin,"58,2","42,9","61,4","45,8","58,6","45,8"
12,1,Âge moyen (années),,"40,3",28,"41,4","29,6","40,4","30,4"
12,1,Effectif,,1 002,655,1 184,474,1 613,443
17,1,Variables,Modalités,M0,M1a,M1b,M1c,M1d,M1e,M1f,M1g,M1h,M1i,M1j,M2
17,1,,,Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b)
17,1,période,Réf. < 1990,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
17,1,,1990-2000,"1,91**","1,50*","1,78**","1,69*","1,83**","1,84**","1,98**","1,87**","1,94**","1,93**","2,00**","1,44*"
17,1,,2001-2009,"1,89**","1,70*","1,74**","1,57*","1,74**","1,81**","1,98**","1,81**","1,91**","1,90**","2,02**","1,61*"
17,1,Court séjour (Réf. Non),oui,"6,08**","2,90*","3,55*","6,18**","4,64**","3,63**","5,87**","5,96**","5,77**","6,08**","5,98**","2,14&"
17,1,période *court séjour,Court séjour < 1990,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
17,1,,Court séjour 1990-2000,"2,16&","3,55*","1,76","1,66","2,34*","2,08&","2,13&","2,11&","2,15&","2,06&","2,15&","2,53&"
17,1,,Court séjour 2001-2009,"3,22*","2,57&","3,71*","2,39*","3,14*","3,06*","3,25*","3,20*","3,06*","3,13*","3,11*","2,58*"
17,1,Capital social ou réseaux sociaux dans le pays d’accueil,,,,,,,,,,,,,
17,1,partenaire (Réf. Non),oui,"30,82**","24,38**",,,,,,,,,,"17,59**"
17,1,"Liens familiaux forts
(Réf. Non)",oui,"7,09**",,"4,89**",,,,,,,,,"2,34**"
17,1,"Liens familiaux moyens
(Réf. Non)",oui,"5,11**",,,"3,73**",,,,,,,,"2,23**"
17,1,Liens faibles (Réf. Non),oui,"6,44**",,,,"3,72**",,,,,,,"1,62*"
18,1,Capital humain et ressources économiques,,,,,,,,,,,,,
18,1,"Niveau d’éducation
(Réf. Au plus secondaire)",Supérieur,"4,61**",,,,,"3,43**",,,,,,"2,03**"
18,1,,,,,,,,,,,,,,
18,1,"Situation économique auto-
déclarée (Réf. Insuffisant)",Suffisant,"1,53*",,,,,,"1,43*",,,,,"1,16"
18,1,Situation dans l’emploi,Réf. occupé,"1,00",,,,,,,"1,00",,,,"1,00"
18,1,,étudiant,"2,15**",,,,,,,"1,84**",,,,"1,21"
18,1,,Chômeur,"1,38&",,,,,,,"1,38&",,,,"0,86"
18,1,,Autres,"1,08",,,,,,,"1,26",,,,"1,93*"
18,1,Possession des biens,,,,,,,,,,,,,
18,1,Terrain (Réf. Non),oui,"2,16**",,,,,,,,"1,63*",,,"1,04"
18,1,maison (Réf. Non),oui,"1,59*",,,,,,,,,"1,23",,"0,98"
18,1,Affaire (Réf. Non),oui,"0,41**",,,,,,,,,,"0,40**","0,50*"
18,1,Log likelihood,,,,,,,,,,,,,"-1737,01"
18,1,Wald chi2,,,,,,,,,,,,,"6958,11"
18,1,Individus/personnes-années,,,,,,,,,,,,,2051/41618
19,1,Variables,Modalités,M0,M1a,M1b,M1c,M1d,M1e,M1f,M1g,M1h,M1i,M1j,M2
19,1,,,Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b)
19,1,Variables sur les déplacements temporaires,,,,,,,,,,,,,
19,1,période courante,Réf. < 1990,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
19,1,,1990-2000,"1,57*","1,36*","1,42*","1,49*","1,52*","1,65**","1,55*","1,57*","1,57*","1,54*","1,65**","1,31&"
19,1,,2001-2009,"2,34**","2,20*","1,87**","2,13**","2,05**","2,41**","2,28**","2,25**","2,23**","2,24**","2,51**","2,30**"
19,1,Court séjour (Réf. Non),oui,"7,44**","4,57**","4,56**","4,83**","5,49**","4,06**","7,74**","6,97**","7,04**","6,96**","7,25**","2,45**"
19,1,Capital social ou réseaux sociaux dans le pays d’accueil,,,,,,,,,,,,,
19,1,partenaire (Réf. Non),oui,"14,96**","13,58**",,,,,,,,,,"9,54**"
19,1,"Liens familiaux forts
(parents et fratrie)
(Réf. Non)",oui,"6,14**",,"4,96**",,,,,,,,,"2,44**"
19,1,"Liens familiaux moyens
(autres parents)
(Réf. Non)",oui,"6,45**",,,"4,65**",,,,,,,,"1,87**"
19,1,"Liens faibles (connais-
sances / amis)
(Réf. Non)",oui,"7,71**",,,,"5,01**",,,,,,,"2,54**"
20,1,Capital humain,,,,,,,,,,,,,
20,1,"Niveau d’éducation
(Réf. Au plus secondaire)",Supérieur,"3,92**",,,,,"3,47**",,,,,,"1,46*"
20,1,Ressources économiques,,,,,,,,,,,,,
20,1,"Situation économique auto-
déclarée (Réf. Insuffisant)",Suffisant,"1,02",,,,,,"0,9",,,,,"0,99"
20,1,"Situation dans l’emploi
(Réf. occupé)",étudiant,"1,98**",,,,,,,"1,86**",,,,"1,06"
20,1,,Chômeur,"2,21**",,,,,,,"1,91*",,,,"1,47&"
20,1,,Autres,"0,61&",,,,,,,"0,63&",,,,"0,83"
20,1,Possession des biens,,,,,,,,,,,,,
20,1,Terrain (Réf. Non),oui,"1,93**",,,,,,,,"1,33&",,,"1,03"
20,1,maison (Réf. Non),oui,"2,62**",,,,,,,,,"2,04**",,"2,20**"
20,1,Affaire (Réf. Non),oui,"0,42**",,,,,,,,,,"0,36**","0,42**"
20,1,Log likelihood,,,,,,,,,,,,,"-1828,1909"
20,1,Wald chi2,,,,,,,,,,,,,"6850,13"
20,1,Individus/personnes-années,,,,,,,,,,,,,1662/33294
21,1,Variables,Modalités,M0,M1a,M1b,M1c,M1d,M1e,M1f,M1g,M1h,M1i,M1j,M2
21,1,,,Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b),Exp(b)
21,1,Variables sur les déplacements temporaires,,,,,,,,,,,,,
21,1,période courante,Réf. < 1990,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
21,1,,1990-2000,"1,88**","1,66**","1,72**","1,81**","1,73**","1,84**","1,87**","1,78**","1,89**","1,95**","1,88**","1,42*"
21,1,,2001-2008,"2,12**","1,80**","1,82**","1,92**","1,81**","2,05**","2,11**","2,00**","2,12**","2,23**","2,12**","1,45*"
21,1,Court séjour (Réf. Non),oui,"4,13**","3,47**","3,33**","4,04**","4,01**","3,66**","4,13**","3,82**","4,09**","4,13**","4,20**","2,68**"
21,1,Capital social ou réseaux sociaux,,,,,,,,,,,,,
21,1,partenaire (Réf. Non),oui,"4,47**","4,05**",,,,,,,,,,"5,70**"
21,1,"Liens familiaux forts
(parents et fratrie)
(Réf. Non)",oui,"2,81*",,"2,47**",,,,,,,,,"1,98**"
21,1,"Liens familiaux moyens
(autres parents)
(Réf. Non)",oui,"1,85**",,,"1,61**",,,,,,,,"1,31*"
21,1,"Liens faibles (connais-
sances / amis) (Réf. Non)",oui,"3,42**",,,,"3,07**",,,,,,,"2,50**"
22,1,Capital humain,,,,,,,,,,,,,
22,1,Niveau d’éducation,"Réf. au plus
niveau secondaire","1,00",,,,,"1,00",,,,,,"1,00"
22,1,,Supérieur,"2,09**",,,,,"1,82**",,,,,,"1,00"
22,1,Ressources économiques,,,,,,,,,,,,,
22,1,"Situation économique
auto-déclarée",Réf. Insuffisant,"1,00",,,,,,"1,00",,,,,"1,00"
22,1,,Suffisant,"1,02",,,,,,"0,99",,,,,"0,83*"
22,1,Situation dans l’emploi,Réf. occupé,"1,00",,,,,,,"1,00",,,,"1,00"
22,1,,étudiant,"1,82**",,,,,,,"1,75**",,,,"1,70**"
22,1,,Chômeur,"2,40**",,,,,,,"2,29**",,,,"1,86**"
22,1,,Autres,"0,57**",,,,,,,"0,61**",,,,"0,73*"
22,1,Possession des biens,,,,,,,,,,,,,
22,1,Terrain (Réf. Non),oui,"1,21",,,,,,,,"1,1",,,"0,86"
22,1,maison (Réf. Non),oui,"1,76**",,,,,,,,,"2,06**",,"1,94**"
22,1,Affaire (Réf. Non),oui,"0,99",,,,,,,,,,"0,98","0,84"
22,1,Log likelihood,,,,,,,,,,,,,"-2602,5"
22,1,Wald chi2,,,,,,,,,,,,,"7706,4"
22,1,Individus/personnes-années,,,,,,,,,,,,,1653/28639
23,1,Variables,Modalités,M3,,,,,
23,1,,,Exp(b),,,,,
23,1,pays d’origine,Réf. Sénégal,"1,00",,,,,
23,1,,Ghana,"0,79*",,,,,
23,1,,Congo,"0,62**",,,,,
23,1,Court séjour (Réf. Non),oui,"1,76*",,,,,
23,1,pays d’origine*court séjour,Réf. Sénégal*court séjour,"1,00",,,,,
23,1,,Ghana*court séjour,"1,46",,,,,
23,1,,Congo*court séjour,"2,56*",,,,,
23,1,Capital social ou réseaux sociaux dans le pays d’accueil,,,,,,,
23,1,partenaire (Réf. Non),oui,"8,40**",,,,,
23,1,Liens familiaux forts (parents et fratrie) (Réf. Non),oui,"2,19**",,,,,
23,1,Liens familiaux moyens (autres parents) (Réf. Non),oui,"1,85**",,,,,
23,1,Liens faibles (connaissances / amis) (Réf. Non),oui,"2,45**",,,,,
23,1,Capital humain,,,,,,,
23,1,Niveau d’éducation,Réf. Au plus niveau secondaire,"1,00",,,,,
23,1,,Supérieur,"1,50**",,,,,
23,1,Ressources économiques,,,,,,,
23,1,Situation économique auto-déclarée,Réf. Insuffisant,"1,00",,,,,
23,1,,Suffisant,"0,88*",,,,,
