page,table_id,col_1,col_2,col_3
8,1,Région ou service,Noms,Durée du mandat
8,1,Abitibi,Ivanhoé Caron,1911-1924
8,1,,Charles Minette,1927-19361
8,1,Chicoutimi–Lac-Saint-Jean,Jean Bergeron,1918-1931
8,1,,Lucien Savard,1931-1936
8,1,Gaspésie,J.-C.-Edmond Plourde,"1923-env. 1926
env. 1929-1935"
8,1,,Zénon Desrosiers,1935-1936
8,1,Diocèse de Mont-Laurier (région de Labelle),Almer-Pierre Neveu,1923-env. 1926
8,1,Service des missionnaires (Québec),Jean Bergeron (dir.),1931-1936
8,1,,Georges-Marie Bilodeau,1931-1933
8,1,,Auguste-Sylvio Deschênes,1932-1936
8,1,"Service de l’établissement des fils de
cultivateurs (Québec)",Georges-Marie Bilodeau (dir.),1933-1936
8,1,"Rapatriement
(Québec et Nashua)",Jean Bergeron (dir.),1928-env. 1931
8,1,,Auguste-Sylvio Deschênes,1928-1932
8,1,,J.-C. Cassivi,1928-env. 1929
8,1,,Joseph-Albert Forcier,env. 1929-1936
8,1,Rimouski,Émile Sirois,1928-1936
8,1,Témiscamingue,Louis-Zéphirin Moreau,1930-1933
8,1,,Léonidas Leroux,1934-1936
8,1,Témiscouata,Charles Pelletier,1931
8,1,,Léo-Pierre Bernier,1931-1936
8,1,Prédication itinérante,Père Mannès Marion,1921-1924
