page,table_id,col_1,col_2,col_3,col_4,col_5,col_6
6,1,Cause de décès,Verdicts,,Cause de décès,Verdicts,
6,1,,n,%,,n,%
6,1,Cause accidentelle,231,"50,2",Suicide,13,"2,8"
6,1,Cause médicale,186,"40,4",Autre cause*,8,"1,7"
6,1,Cause inconnue,18,"3,9",Acte criminel,4,"0,9"
10,1,Causes de décès,,1850-1891,,1918-1930,,1950,,Total,
10,1,,,n*,%,n,%,n,%,n,%
10,1,selletnediccA,Noyade,39,"35,5",20,"10,6",17,"9,9",76,"16,2"
10,1,,"Collision/dérapage impliquant
un véhicule-moteur",-,-,25,"13,2",41,"24,0",66,"14,0"
10,1,,Coup ou heurt,9,"8,2",9,"4,8",6,"3,5",24,"5,1"
10,1,,Chute,2,"1,8",12,"6,3",7,"4,1",21,"4,5"
10,1,,Explosion,1,"0,9",7,"3,7",1,"0,6",9,"1,9"
10,1,,Brûlures,1,"0,9",6,"3,2",2,"1,2",9,"1,9"
10,1,,Électrocution,-,-,4,"2,1",3,"1,8",7,"1,5"
10,1,,Empoisonnement,2,"1,8",3,"1,6",1,"0,6",6,"1,3"
10,1,,Asphyxie,2,"1,8",3,"1,6",1,"0,6",6,"1,3"
10,1,,Autre,9,"8,2",5,"2,6",3,"1,8",17,"3,6"
10,1,,Total causes accidentelles,65,"59,1",94,"49,7",82,"48,0",241,"51,3"
10,1,selacidéM,"Maladies de l’appareil
circulatoire",19,"17,3",47,"24,9",57,"33,3",123,"26,2"
10,1,,"Maladies de l’appareil
respiratoire",2,"1,8",10,"5,3",6,"3,5",18,"3,8"
10,1,,"Maladies infectieuses
et parasitaires",1,"0,9",3,"1,6",6,"3,5",10,"2,1"
10,1,,Autre**,9,"8,2",17,"9,0",9,"5,3",35,"7,4"
10,1,,Total causes médicales,31,"28,2",77,"40,7",78,"45,6",186,"39,6"
10,1,Inconnue,,8,"7,3",7,"3,7",3,"1,8",18,"3,8"
10,1,Suicide,,2,"1,8",4,"2,1",7,"4,1",13,"2,8"
10,1,Autres,,4,"3,6",4,"2,1",-,-,8,"1,7"
10,1,Acte criminel,,-,-,3,"1,6",1,"0,6",4,"0,9"
10,1,Total,,110,100,189,100,171,100,470,100
12,1,,,,,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,,,,,
15,1,Circonstances de décès,,1850-1891,,1918-1930,,1950,,Total,
15,1,,,n,%,n,%,n,%,n,%
15,1,selletnediccA,Transports,12,"10,9",23,"12,2",42,"24,6",77,"16,4"
15,1,,Travail,10,"9,1",30,"15,9",14,"8,2",54,"11,5"
15,1,,Loisirs,12,"10,9",13,"6,9",14,"8,2",39,"8,3"
15,1,,Domestiques,9,"8,2",21,"11,1",8,"4,7",38,"8,1"
15,1,,Autres,13,"11,8",-,-,3,"1,8",16,"3,4"
15,1,,"Total circonstances
accidentelles",56,"50,9",87,"46,0",81,"47,4",224,"47,7"
15,1,*sellerutaN,Affection soudaine,12,"10,9",37,"19,6",22,"12,9",71,"15,1"
15,1,,Maladie chronique,7,"6,4",10,"5,3",27,"15,8",44,"9,4"
15,1,,Maladie de courte durée,8,"7,3",10,"5,3",7,"4,1",25,"5,3"
15,1,,Maladie infantile,2,"1,8",9,"4,8",12,"7,0",23,"4,9"
15,1,,Autres ou sans précision,5,"4,5",11,"5,8",11,"6,4",27,"5,7"
15,1,,"Total circonstances
naturelles",34,"30,9",77,"40,7",79,"46,2",190,"40,4"
15,1,Inconnues**,,14,"12,7",16,"8,5",3,"1,8",33,"7,0"
15,1,Suicide,,2,"1,8",5,"2,6",7,"4,1",14,"3,0"
15,1,Autres***,,4,"3,6",1,"0,5",-,-,5,"1,1"
15,1,Acte criminel,,-,-,3,"1,6",1,"0,6",4,"0,9"
15,1,Total,,110,100,189,100,171,100,470,100
