page,table_id,col_1,col_2,col_3,col_4,col_5
7,1,Origine,"La
Nouvelle-Bourbon",La Saline,Bois-Brûlé,Total
7,1,Créole,15,2,,17
7,1,Canadien,9,3,,12
7,1,Français,3,3,,6
7,1,Américain catholique,4,3,1,8
7,1,Américain protestant,3,28,10,41
7,1,Irlandais,1,1,3,5
7,1,Écossais,,1,,1
7,1,Allemand,1,,,1
7,1,Total,37,41,14,92
20,1,Élèves du collège1,Créoles,9,,
20,1,,Anglo-Américains,0,,
20,1,Séminaristes missionnaires européens,Italiens,9,,
20,1,,Français,25,,
20,1,,Belges2,7,,
20,1,,Allemands,1,,
20,1,,Irlandais,9,,
20,1,,Espagnols,2,,
20,1,Séminaristes nord-américains,Créoles3,10,,
20,1,,Anglo-Américains,14,,
20,1,Total,,86,,
26,1,,"Population
totale","Natifs
de France","Proportion
de natifs de France",
26,1,État du Missouri,1 182 012,5283,"0,4 %",
26,1,Ville d’Hannibal,6505,10,"0,15 %",
26,1,Ville de Saint-Joseph,8932,66,"0,74 %",
26,1,Ville de Sainte-Geneviève,1277,58,"4,5 %",
26,1,Comté de Chariton,12 562,4,"0,03 %",
26,1,4e circonscription de Saint-Louis,15 453,419,"2,7 %",
26,1,"Township de Moreland,
comté de Scott",1558,132,"8,5 %",
26,2,,Hannibal,"Saint-
Joseph","Sainte-
Geneviève","Comté de
Chariton","Township
de
Moreland"
26,2,Enfants,1,5,5,1,25
26,2,"Enfants exerçant une
profession",,,7,,14
26,2,"Couples dont les deux
membres sont nés en France",,15,14,1,27
26,2,"Couples dont l’épouse est
née en France",1,7,2,,15
26,2,"Couples dont le mari est
né en France",4,7,8,1,12
26,2,Célibataires femmes,,,3,,5
26,2,Célibataires hommes,3,13,3,,
26,2,Veuves et veufs,,4,2,,6
26,2,Enfant isolé,1,,,,1
29,1,,,"Pays de naissance
du mari lorsque l’épouse
est native de France","Pays de naissance
de l’épouse quand le mari
est natif de France",
29,1,Pays allemands,Bavière,8,2,
29,1,,Prusse,2,0,
29,1,,Bade,5,6,
29,1,,Würtemberg,0,1,
29,1,,«Allemagne»,6,2,
29,1,Total pays allemands,,21,11,
29,1,États américains,Missouri,0,5,
29,1,,États du Nord,1,5,
29,1,,États du Sud,0,4,
29,1,"Total
États américains",,1,14,
29,1,Autres,,2,5,
