page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
11,1,,,Lieu de la naissance et lieu du premier mariage du journalier,,,,,,
11,1,,"Cas non
connus","Seigneurie
de
Saint-
Hyacinthe","District
de
Montréal
RS1","District
de
Montréal
RN2","District
de
Trois-
Rivières","District
de
Québec",Autres,"Total
(cas
connus)"
11,1,Naissance N,104,188,482,68,45,194,4,981
11,1,%,-,"19,2","49,1","6,9","4,6","19,8","0,4",100
11,1,Mariage N,8,600,359,35,16,66,1,1 077
11,1,%,-,"55,7","33,3","3,2","1,5","6,1","0,1","99,9"
11,2,,1,,2,,3,,4,,5 et +,,Total,
11,2,,N,%,N,%,N,%,N,%,N,%,N,%
11,2,Mariage avant 1800,35,"14,4",60,"24,7",55,"22,6",42,"17,3",51,"21,0",243,100
11,2,Mariage 1800-1809,30,"15,7",58,"30,4",40,"20,9",29,"15,2",34,"17,8",191,100
11,2,Mariage 1810-1819,57,"18,0",94,"29,6",60,"18,9",51,"16,1",55,"17,4",317,100
11,2,"Mariage après
1820",108,"32,3",124,"37,1",74,"22,2",17,"5,1",11,"3,3",334,100
11,2,Total,230,"20,9",336,"31,3",229,"21,1",139,"12,8",151,"13,9",1 085,100
15,1,,Inconnue,Journalier,,Cultivateur,,Artisan,,Autre,,Total (cas connus),
15,1,,N,N,%,N,%,N,%,N,%,N,%
15,1,Mariage avant 1800,226,-,,16,"94,1",-,,1,"5,9",17,100
15,1,Mariage 1800-1809,63,5,"11,7",107,"83,6",5,"3,9",1,"0,8",118,100
15,1,Mariage 1810-1819,71,69,"28,0",159,"64,6",10,"4,1",8,"3,3",246,100
15,1,Mariage après 1820,96,116,"48,7",113,"47,5",8,"3,4",1,"0,4",238,100
15,1,Total,456,190,"31,8",395,"62,8",23,"3,7",11,"1,7",619,100
15,2,,Nombre de déclarations du statut de journalier,,,,,,,,,,,
15,2,,1,,2,,3,,4,,5 et plus,,Total,
15,2,,N,%,N,%,N,%,N,%,N,%,N,%
15,2,Mariage avant 1800,92,"37,9",56,"23,0",18,"7,4",29,"11,9",48,"19,8",243,100
15,2,Mariage 1800-1809,49,"25,7",28,"14,7",29,"15,2",25,"13,1",60,"31,4",191,"100,1"
15,2,Mariage 1810-1819,100,"31,5",55,"17,4",52,"16,4",37,"11,7",73,"23,0",317,100
15,2,Mariage après 1820,145,"43,4",66,"19,8",47,"14,1",30,"9,0",46,"13,8",334,"100,1"
15,2,Total,386,"35,6",205,"18,9",146,"13,5",121,"11,2",227,"20,9",1 085,"100,1"
17,1,,"Nombre de
personnes",,"Nombre total de mentions
par métier ou type de métier",,,,,,,
17,1,"Nombre de journaliers
avec d’autres mentions
de métiers",,,Cultivateur,,Artisans,,Autres,,"N total de
mentions",
17,1,,N,%,N,%,N,%,N,%,N,%
17,1,Aucune mention,117,"10,8",-,,-,,-,,-,
17,1,Une mention,887,"81,8",859,"96,8",22,"2,5",6,"0,7",887,100
17,1,Deux mentions,61,"5,6",58,"47,5",49,"40,2",15,"12,3",122,100
17,1,Trois mentions,17,"1,6",17,"33,3",28,"54,9",6,"11,8",51,100
17,1,Quatre mentions,2,"0,2",2,"25,0",3,"37,5",3,"37,5",8,100
17,1,Cinq mentions,1,"0,1",1,"20,0",3,"60,0",1,"20,0",5,100
17,1,Total,1 085,"100,1",937,"87,3",105,"9,8",31,"2,9",1 073,100
18,1,,"Cas non
identifiés","Moins
de 30
ans","30-39
ans","40-49
ans","50-59
ans","60
ans et
plus","Total
(âge
conu)",Total
18,1,Saint-Hyacinthe,13,15,46,22,24,17,124,137
18,1,La Présentation,8,11,4,7,3,7,32,40
