page,table_id,col_1,col_2,col_3,col_4
32,1,Matière,Section française,Section anglaise,Total
32,1,Cuisine de démonstration,192,90,282
32,1,Cuisine pratique,117,86,203
32,1,Modes,52,75,127
32,1,Cuisine garde-malades,2,14,16
32,1,Couture,63,46,109
32,1,Langue française,0,9,9
32,1,Dentelle,1,2,3
32,2,Matière,Inscriptions,,
32,2,Cuisine de démonstration,133,,
32,2,Coupe et couture,108,,
32,2,Cuisine pratique,71,,
32,2,Mode chapeaux,53,,
32,2,Puériculture,29,,
32,2,Cuisine des malades,6,,
33,1,Matière,Inscriptions,,
33,1,Couture,200,,
33,1,Démonstration culinaire,130,,
33,1,Cuisine pratique,100,,
33,1,Mode chapeaux,71,,
33,1,Ouvrages de fantaisie,39,,
33,1,Coupe,27,,
33,1,Art décoratif,24,,
33,1,Diète spéciale,21,,
33,1,Dessin,20,,
33,1,Cuisine avancée,20,,
33,2,Matière,Inscriptions,,
33,2,Coupe et couture,753,,
33,2,Arts culinaires,240,,
33,2,Psychologie,125,,
33,2,Modes,75,,
33,2,Fantaisies à l’aiguille,38,,
33,2,Coupe,25,,
34,1,Matière,Inscriptions,,
34,1,Couture,975,,
34,1,Cuisine pratique,238,,
34,1,Chapellerie,135,,
34,1,Fantaisies à l’aiguille,74,,
34,1,Démonstrations culinaires,50,,
34,1,Moulage,35,,
34,1,Arts décoratifs,31,,
34,1,Psychologie,25,,
34,1,Coupe,14,,
