page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7
8,1,,Garçons,,Filles,,Total,
8,1,,N,%,N,%,N,%
8,1,1963 à 1969,73,"48,67",77,"51,33",150,100
8,1,1970 à 1977,55,"49,55",56,"50,45",111,100
8,1,Total,128,49,133,51,261,100
9,1,,Garçons,,Filles,,Total,
9,1,,N,%,N,%,N,%
9,1,"Groupe 1 Les comportements, actions ou
omissions des parents ou des tuteurs
responsables de la personne mineure
sont à l’origine de la plainte (négligence,
abandon, maltraitance, conditions de vie
matérielles inadéquates, alcoolisme, etc.)",112,"54,63",93,"45,37",205,"78,54"
9,1,"Groupe 2 Les comportements, actes ou
omissions de la personne mineure sont à
l’origine de la plainte (fugue, mauvaises
fréquentations, relations sexuelles,
désobéissance, ne fréquente pas l’école,
alcool, drogue, etc.)",16,"28,57",40,"71,43",56,"21,46"
9,1,Total,128,49,133,51,261,100
11,1,,Garçons,,Filles,,,
11,1,,N,%,N,%,,
11,1,"Problèmes de comportement et/ou de carac-
tère, refus de l’autorité, n’écoute pas.",10,"62,50",28,"70,00",,
11,1,"Alcool/
Drogue",1,"6,25",5,"12,50",,
11,1,"École (refus d’y aller, expulsé, mauvais
comportement)",10,"62,50",11,"27,50",,
11,1,Sexualité active,0,0,5,"12,50",,
11,1,"Fugue, quitté résidence parentale",4,"25,00",21,"52,50",,
11,1,"Mauvaises fréquentations, rentre tard,
découche",5,"31,25",15,"37,50",,
11,1,Délit criminel (présumé ou avéré),4,"25,00",3,"7,50",,
11,1,Est un mauvais exemple,0,0,4,"10,00",,
15,1,,Garçons,,Filles,,Total,
15,1,,N,%,N,%,N,%
15,1,Institution,7,"43,75",18,"45,00",25,"44,64"
15,1,Foyer nourricier,3,"18,75",6,"15,00",9,"16,07"
15,1,Plainte rejetée,1,"6,25",1,"2,50",2,"3,57"
15,1,Plainte abandonnée,1,"6,25",5,"12,50",6,"10,71"
15,1,Probation,1,"6,25",9,"22,50",10,"17,86"
15,1,Autresa,3,18.75,1,"2,50",4,"7,15"
15,1,Total,16,100,40,100,56,100
16,1,,"Années 1960
(1963 à 1969)",,"Années 1970
(1970 à 1977)",,,
16,1,,N,%,N,%,,
16,1,Institution,13,"48,15",12,"41,38",,
16,1,Foyer nourricier,7,"25,93",2,"6,90",,
16,1,Probation,5,"18,52",5,"17,24",,
16,1,Plainte rejetée,0,0,2,"6,90",,
16,1,Plainte abandonnée,1,"3,70",5,"17,24",,
16,1,Autresa,1,"3,70",3,"10,34",,
16,1,Total,27,"99,9",29,"100,0",,
