field,has_ref,has_extractor,strict,soft,levenshtein
title,1,0,0.0,0.0,0.0
overline,1,0,0.0,0.0,0.0
subtitle,0,0,0.0,0.0,0.0
abstract,1,1,0.0,0.121,0.154
language,1,1,1.0,1.0,1.0
date,1,0,0.0,0.0,0.0
issue_number,1,0,0.0,0.0,0.0
volume,1,0,0.0,0.0,0.0
acknowledgements,1,1,0.0,0.024,0.315
authors,1,1,0.0,0.0,0.0
editorial_team,1,0,0.0,0.0,0.0
body,1,1,0.0,0.375,0.375
tables,1,0,0.0,0.0,0.0
figures,1,1,0.0,0.0,0.0
keywords,0,0,0.0,0.0,0.0
themes,1,0,0.0,0.0,0.0
biographical_notes,0,0,0.0,0.0,0.0
id,1,0,0.0,0.0,0.0
pagination,1,0,0.0,0.0,0.0
rights,1,0,0.0,0.0,0.0
bibliographies,1,1,0.609,0.887,0.887
