directory,method,abstract,acknowledgements,date,issue_number,language,overline,subtitle,title,volume
ae49,strict,0.0,0.0,0.0,0.0,0.97,0.0,,0.33,0.0
ae49,soft,0.8094642857142856,0.0045312500000000006,0.0,0.0,0.97,0.0,,0.9847099999999996,0.0
ae49,levenshtein,0.8221666666666665,0.013390625,0.0,0.0,0.97,0.0,,0.9847099999999996,0.0
haf18,strict,0.0,,0.0,0.0,1.0,0.0,0.0,0.3939393939393939,0.0
haf18,soft,0.7737653061224491,,0.0,0.0,1.0,0.0,0.0,0.8397474747474748,0.0
haf18,levenshtein,0.8278265306122449,,0.0,0.0,1.0,0.0,0.0,0.8397474747474748,0.0
cqd27,strict,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08,0.0
cqd27,soft,0.59989,0.0032580645161290325,0.0,0.0,1.0,0.0,0.0,0.09923,0.0
cqd27,levenshtein,0.79718,0.01432258064516129,0.0,0.0,1.0,0.0,0.0,0.09923,0.0
xml_2cols,strict,0.0,0.0,0.0,0.0,0.7959183673469388,0.0,0.0,0.25,0.0
xml_2cols,soft,0.40919512195121943,0.25783870967741934,0.0,0.0,0.7959183673469388,0.0,0.0,0.7197291666666668,0.0
xml_2cols,levenshtein,0.44075609756097556,0.34296774193548385,0.0,0.0,0.7959183673469388,0.0,0.0,0.7230833333333333,0.0
