field,strict,soft,levenshtein
title,0.0,0.785,0.785
overline,0.0,0.0,0.0
subtitle,0.0,0.0,0.0
abstract,0.0,0.996,0.996
language,0.0,1.0,1.0
date,0.0,0.0,0.0
issue_number,0.0,0.0,0.0
volume,0.0,0.0,0.0
acknowledgements,0.0,0.0,0.0
authors,0.0,0.0,0.0
editorial_team,0.0,0.0,0.0
body,0.0,0.0,0.0
tables,0.0,0.0,0.0
figures,0.0,0.0,0.0
keywords,0.842,0.947,0.947
themes,0.0,0.0,0.0
biographical_notes,0.0,0.0,0.0
id,0.5,0.5,0.5
pagination,0.0,0.0,0.0
rights,0.0,0.0,0.0
bibliographies,0.737,0.842,0.842
