directory,method,abstract,acknowledgements,date,issue_number,language,title,volume
ae49,strict,0.03614457831325301,0.0,0.0,0.0,0.0,0.030303030303030304,0.0
ae49,soft,0.3810963855421686,0.0,0.0,0.0,0.0,0.4118989898989899,0.0
ae49,levenshtein,0.4182530120481927,0.0,0.0,0.0,0.0,0.4118989898989899,0.0
cqd27,strict,0.0,0.0,0.0,0.0,0.0,0.03,0.0
cqd27,soft,0.13996,0.0,0.0,0.0,0.0,0.09257,0.0
cqd27,levenshtein,0.22913999999999995,0.0,0.0,0.0,0.0,0.0965,0.0
haf18,strict,0.0,,0.0,0.0,0.0,0.10101010101010101,0.0
haf18,soft,0.22963265306122457,,0.0,0.0,0.0,0.4004343434343433,0.0
haf18,levenshtein,0.28861224489795917,,0.0,0.0,0.0,0.40080808080808067,0.0
2cols,strict,0.0,0.0,0.0,0.0,0.0,0.125,0.0
2cols,soft,0.3138780487804878,0.0,0.0,0.0,0.0,0.2513125,0.0
2cols,levenshtein,0.4215609756097561,0.0,0.0,0.0,0.0,0.2513125,0.0
