directory,method,abstract,acknowledgements,date,issue_number,language,title,volume
ae49,strict,0.7951807228915663,0.0,0.0,0.0,0.0,0.24242424242424243,0.0
ae49,soft,0.9467349397590361,0.0,0.0,0.0,0.0,0.8822323232323227,0.0
ae49,levenshtein,0.9529277108433734,0.0,0.0,0.0,0.0,0.8822323232323227,0.0
cqd27,strict,0.32,0.0,0.0,0.0,0.0,0.73,0.0
cqd27,soft,0.3839000000000001,0.0,0.0,0.0,0.0,0.9706599999999999,0.0
cqd27,levenshtein,0.4098699999999999,0.0,0.0,0.0,0.0,0.9706599999999999,0.0
haf18,strict,0.0,,0.0,0.0,0.0,0.42424242424242425,0.0
haf18,soft,0.9385102040816322,,0.0,0.0,0.0,0.9403636363636363,0.0
haf18,levenshtein,0.9434897959183669,,0.0,0.0,0.0,0.9405858585858584,0.0
2cols,strict,0.4146341463414634,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
2cols,soft,0.7069268292682928,0.0,0.0,0.0,0.0,0.8198333333333333,0.0
2cols,levenshtein,0.7752439024390243,0.0,0.0,0.0,0.0,0.8249791666666666,0.0
