directory,method,abstract,acknowledgements,date,issue_number,language,overline,subtitle,title,volume
ae49,strict,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
ae49,soft,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
ae49,levenshtein,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
cqd27,strict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cqd27,soft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cqd27,levenshtein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haf18,strict,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haf18,soft,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haf18,levenshtein,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2cols,strict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2cols,soft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2cols,levenshtein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
