directory,metric,authors,bibliographies,content_tables,figures,id,keywords,pagination,rights,section_titles,tables,themes
ae49,strict_precision,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
ae49,strict_recall,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
ae49,strict_avg_similarity,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
ae49,soft_precision,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
ae49,soft_recall,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
ae49,soft_avg_similarity,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
ae49,levenshtein_precision,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
ae49,levenshtein_recall,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
ae49,levenshtein_avg_similarity,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
cqd27,strict_precision,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cqd27,strict_recall,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cqd27,strict_avg_similarity,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cqd27,soft_precision,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cqd27,soft_recall,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cqd27,soft_avg_similarity,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cqd27,levenshtein_precision,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cqd27,levenshtein_recall,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cqd27,levenshtein_avg_similarity,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haf18,strict_precision,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
haf18,strict_recall,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
haf18,strict_avg_similarity,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
haf18,soft_precision,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
haf18,soft_recall,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
haf18,soft_avg_similarity,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
haf18,levenshtein_precision,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
haf18,levenshtein_recall,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
haf18,levenshtein_avg_similarity,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2cols,strict_precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2cols,strict_recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2cols,strict_avg_similarity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2cols,soft_precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2cols,soft_recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2cols,soft_avg_similarity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2cols,levenshtein_precision,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2cols,levenshtein_recall,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2cols,levenshtein_avg_similarity,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
