page,table_id,col_1,col_2
9,1,Niveaux de compétence,Études ou formation habituellement exigées
9,1,a – professionnels et gestionnaires,"une formation universitaire (baccalauréat, maîtrise ou doctorat).
cette catégorie comprend aussi toutes les professions en gestion7."
9,1,B – technique,une formation collégiale ou un programme d’apprentissage.
9,1,c – Intermédiaire,"une formation de niveau secondaire ou une formation spécifique
à la profession, ou les deux."
9,1,d – élémentaire,une formation en cours d’emploi.
10,1,,,Niveau de compétence associé à l’emploi,,,
10,1,,,"D
Élémentaire","C
Intermédiaire","B
Technique","A
Professionnels et
gestionnaires"
10,1,"unetbo
emôlpid
tuah
sulP",aucun diplôme,Qualifié,"sous- qualifié de
1 niveau","sous- qualifié de
2 niveaux","sous- qualifié de
3 niveaux"
10,1,,diplôme d’études secondaires,"surqualifié de
1 niveau",Qualifié,"sous- qualifié de
1 niveau","sous- qualifié de
2 niveaux"
10,1,,"diplôme d’une école de
métiers ou d’un collège ;
certificat universitaire","surqualifié de
2 niveaux","surqualifié de
1 niveau",Qualifié,"sous- qualifié de
1 niveau"
10,1,,"diplôme universitaire
(baccalauréat ou plus)","surqualifié de
3 niveaux","surqualifié de
2 niveaux","surqualifié de
1 niveau",Qualifié
13,1,,2006,2011
13,1,aucun certificat ou diplômea,—,—
13,1,diplôme d’études secondaires,"17,3","18,3"
13,1,diplôme d’une école de métiers,42,"37,3"
13,1,diplôme d’études collégiales,"37,1","33,7"
13,1,certificat ou diplôme universitaire,"31,9","30,1"
13,1,Baccalauréat,"39,6","40,1"
13,1,certificat ou diplôme universitaire supérieur au baccalauréat,"30,2","33,6"
13,1,"diplôme en médecine, art dentaire, médecine vétérinaire ou optométrie","11,7","13,9"
13,1,maîtrise,"21,9","23,6"
13,1,doctorat,"10,7","11,4"
13,1,Total,"25,5","25,7"
14,1,,2006,2011
14,1,"agriculture, exploitation agricole et sciences connexes","42,8","39,9"
14,1,ressources naturelles et conservation,"34,6","33,5"
14,1,architecture et services connexes,"27,9","28,5"
14,1,"études régionales, ethniques et culturelles et études comparatives selon le sexe","46,0","45,9"
14,1,"communications, journalisme et programmes connexes","37,7","37,0"
14,1,"technologie des communications, technicien en communications et services de soutien","37,6","35,0"
14,1,"Informatique, sciences de l’information et services de soutien connexes","28,7","25,5"
14,1,services personnels et culinaires,"39,3","37,6"
14,1,éducation,"22,9","23,8"
14,1,génie,"30,3","29,7"
14,1,"technologue, technicien en génie","24,5","22,0"
14,1,"linguistique, langues et littératures autochtones et étrangères","44,2","43,8"
14,1,"sciences de la famille et de la consommation, sciences humaines","35,9","33,1"
14,1,"droit, professions connexes et étude du droit","25,6","23,6"
14,1,"langue et littérature, lettres anglaises","47,4","46,9"
14,1,"arts libéraux et sciences, études générales, lettres et sciences humaines","59,0","55,8"
14,1,Bibliothéconomie,"29,3","27,0"
14,1,sciences biologiques et biomédicales,"40,4","40,7"
14,1,mathématiques et statistique,"31,2","31,4"
14,1,"études multidisciplinaires, interdisciplinaires","47,4","46,4"
14,1,"étude des parcs, de la récréologie, des loisirs et du conditionnement physique","42,5","43,2"
14,1,philosophie et études religieuses,"43,7","43,6"
14,1,théologie et vocations religieuses,"33,3","32,9"
14,1,sciences physiques,"30,0","32,0"
14,1,"technologue, technicien en sciences","27,7","26,0"
14,1,psychologie,"44,7","44,7"
14,1,sécurité et services de protection,"42,1","40,5"
14,1,administration publique et professions dans les services sociaux,"31,4","31,0"
15,1,,2006,2011
15,1,sciences sociales,"47,4","47,5"
15,1,métiers de la construction,"25,5","23,3"
15,1,"mécanique et réparation, technologue, technicien","26,2","26,0"
15,1,travail de précision,"28,8","28,6"
15,1,transport de personnes et de matériel,"41,3","40,2"
15,1,arts visuels et arts d’interprétation,"43,4","42,3"
15,1,professions dans le domaine de la santé et sciences cliniques connexes,"27,6","28,2"
15,1,"commerce, gestion, marketing et services de soutien connexes","39,6","36,5"
15,1,histoire,"47,9","49,0"
15,1,"langue et littérature, lettres françaises (canada)","42,7","42,6"
