page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
11,1,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,
14,1,Arrangement de garde,1997-1998,2008,2008-2009,,,,,,,,,,,
14,1,garde exclusive à la mère,"79,0","60,5","70,6",,,,,,,,,,,
14,1,garde exclusive au père,"8,1","13,5","4,4",,,,,,,,,,,
14,1,garde partagée,"7,2","19,7","22,0",,,,,,,,,,,
14,1,garde exclusive à chacun des parents,"5,4","5,3","2,8",,,,,,,,,,,
14,1,Autres,"0,3","1,0","0,2",,,,,,,,,,,
14,1,,n = 1503,n = 2000,N = 16 460,,,,,,,,,,,
20,1,Âge des enfants,Québec,Reste du Canada,Canada (total),,,,,,,,,,,
20,1,ELNEJ 1994-1997 (cycles 1 et 2),,,,,,,,,,,,,,
20,1,2-3 ans,"1,3","0,8","0,9",,,,,,,,,,,
20,1,4-5 ans,"3,3","1,9","2,2",,,,,,,,,,,
20,1,6-7 ans,"3,8","1,6","2,1",,,,,,,,,,,
20,1,8-9 ans,"4,3","1,3","2,0",,,,,,,,,,,
20,1,10-11 ans,"5,1","1,6","2,4",,,,,,,,,,,
20,1,ELNEJ 2002-2005 (cycles 5 et 6),,,,,,,,,,,,,,
20,1,2-3 ans,"14,0","2,3","5,2",,,,,,,,,,,
20,1,4-5 ans,"18,1","5,5","8,5",,,,,,,,,,,
20,1,ELNEJ 2006-2009 (cycles 7 et 8),,,,,,,,,,,,,,
20,1,2-3 ans,"13,9","5,4","7,3",,,,,,,,,,,
20,1,4-5 ans,"27,4","7,5","13,4",,,,,,,,,,,
20,1,6-7 ans,"34,8","7,5","13,9",,,,,,,,,,,
20,1,ESG 2006,,,,,,,,,,,,,,
20,1,0-22 ans,"23,1","10,6","14,3",,,,,,,,,,,
20,1,ESG 2011,,,,,,,,,,,,,,
20,1,0-17 ans,"18,6","6,4","9,5",,,,,,,,,,,
